연도,품목,지역,구분,물동량_톤
2019,축산물,대전,반출,9239
2019,축산물,대전,합계,48757
2019,축산물,울산,반입,18201
2019,축산물,울산,반출,18404
2019,축산물,울산,합계,36605
2019,축산물,경기,반입,386562
2019,축산물,경기,반출,950943
2019,축산물,경기,합계,1337505
2019,축산물,강원,반입,190854
2019,축산물,강원,반출,175418
2019,축산물,강원,합계,366272
2019,축산물,충북,반입,694056
2019,축산물,충북,반출,198115
2019,축산물,충북,합계,892171
2019,축산물,충남,반입,261762
2019,축산물,충남,반출,602898
2019,축산물,충남,합계,864660
2019,축산물,전북,반입,486901
2019,축산물,전북,반출,258744
2019,축산물,전북,합계,745645
2019,축산물,전남,반입,111119
2019,축산물,전남,반출,307129
2019,축산물,전남,합계,418248
2019,축산물,경북,반입,438785
2019,축산물,경북,반출,291494
2019,축산물,경북,합계,730279
2019,축산물,경남,반입,158649
2019,축산물,경남,반출,308546
2019,축산물,경남,합계,467195
2019,축산물,제주,반입,0
2019,축산물,제주,반출,0
2019,축산물,제주,합계,0
2019,석탄광물,서울,반입,141940
2019,석탄광물,서울,반출,0
2019,석탄광물,서울,합계,141940
2019,석탄광물,부산,반입,65516
2019,석탄광물,부산,반출,3001
2019,석탄광물,부산,합계,68517
2019,석탄광물,대구,반입,68953
2019,석탄광물,대구,반출,0
2019,석탄광물,대구,합계,68953
2019,석탄광물,인천,반입,0
2019,석탄광물,인천,반출,216619
2019,석탄광물,인천,합계,216619
2019,석탄광물,광주,반입,32346
2019,석탄광물,광주,반출,0
2019,석탄광물,광주,합계,32346
2019,석탄광물,세종,반입,20252
2019,석탄광물,세종,반출,0
2019,석탄광물,세종,합계,20252
2019,석탄광물,대전,반입,59685
2019,석탄광물,대전,반출,0
2019,석탄광물,대전,합계,59685
2019,석탄광물,울산,반입,226998
2019,석탄광물,울산,반출,27
2019,석탄광물,울산,합계,227025
2019,석탄광물,경기,반입,257029
2019,석탄광물,경기,반출,9681695
2019,석탄광물,경기,합계,9938724
2019,석탄광물,강원,반입,317148
2019,석탄광물,강원,반출,1132000
2019,석탄광물,강원,합계,1449148
2019,석탄광물,충북,반입,300869
2019,석탄광물,충북,반출,0
2019,석탄광물,충북,합계,300869
2019,석탄광물,충남,반입,9804461
2019,석탄광물,충남,반출,0
2019,석탄광물,충남,합계,9804461
2019,석탄광물,전북,반입,103417
2019,석탄광물,전북,반출,0
2019,석탄광물,전북,합계,103417
2019,석탄광물,전남,반입,167039
2019,석탄광물,전남,반출,238750
2019,석탄광물,전남,합계,405789
2019,석탄광물,경북,반입,331795
2019,석탄광물,경북,반출,743900
2019,석탄광물,경북,합계,1075695
2019,석탄광물,경남,반입,118544
2019,석탄광물,경남,반출,0
2019,석탄광물,경남,합계,118544
2019,석탄광물,제주,반입,0
2019,석탄광물,제주,반출,0
2019,석탄광물,제주,합계,0
2019,석회석광물,서울,반입,236914
2019,석회석광물,서울,반출,0
2019,석회석광물,서울,합계,236914
2019,석회석광물,부산,반입,18893
2019,석회석광물,부산,반출,1498597
2019,석회석광물,부산,합계,1517490
2019,석회석광물,대구,반입,14831
