"year","base_city","base_region_kr","base_region_en","target_city","target_region_kr","target_region_en","direction","cargo_volume","ratio"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","도착","4668356","1.67"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","도착","3898433","1.39"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","1491311","0.62"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","1347315","0.56"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","세종","충청권(대전제외)","Chungcheong(excl. DJ)","출발","2581444","1.07"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","196410","0.07"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","1943008","0.69"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","도착","1572863","0.56"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","293245","0.12"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","2488740","1.03"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","울산","영남권","Yeongnam","출발","2281546","0.95"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","4499256","1.61"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","435280","0.16"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","도착","9094134","3.24"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","3522537","1.46"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","1761043","0.73"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","인천","수도권","Capital Area","출발","407434","0.17"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","1676843","0.60"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","5782148","2.06"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","도착","9043056","3.23"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","2547119","1.06"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","3659474","1.52"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전남","호남권","Honam","출발","634206","0.26"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","9766402","3.48"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","4676695","1.67"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","도착","696250","0.25"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","1920330","0.80"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","563421","0.23"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","전북","호남권","Honam","출발","4327955","1.80"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","도착","0","0.00"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","제주","기타","Others","출발","0","0.00"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","81175357","28.96"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","6631537","2.37"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","도착","1491311","0.53"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","81175357","33.67"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","4668356","1.94"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충남","충청권(대전제외)","Chungcheong(excl. DJ)","출발","8437910","3.50"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","8437910","3.01"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","18410833","6.57"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","도착","1347315","0.48"
"2019","충남","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","6631537","2.75"
"2019","충북","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","18410833","7.64"
"2019","세종","충청권(대전제외)","Chungcheong(excl. DJ)","충북","충청권(대전제외)","Chungcheong(excl. DJ)","출발","3898433","1.62"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","508818","0.19"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","5692567","2.09"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","도착","4990576","1.84"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","2584696","1.08"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","487486","0.20"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","강원","기타","Others","출발","4276163","1.78"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","13243197","4.87"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","1330598","0.49"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","도착","38717686","14.24"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","25980168","10.82"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","2737789","1.14"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경기","수도권","Capital Area","출발","12709896","5.29"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","4044465","1.49"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","3011408","1.11"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","도착","344685","0.13"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","3181443","1.32"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","2628267","1.09"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경남","영남권","Yeongnam","출발","465389","0.19"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","4865969","1.79"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","424484","0.16"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","도착","4740100","1.74"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","5727406","2.38"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","6112245","2.54"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","경북","영남권","Yeongnam","출발","1208162","0.50"
"2020","충남","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","1101507","0.41"
"2020","충북","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","480773","0.18"
"2020","세종","충청권(대전제외)","Chungcheong(excl. DJ)","광주","호남권","Honam","도착","53169","0.02"
