"year","date","industry","region_kr","region_en","avg_index","index_share_pct"
"2019","2019-01-01","총지수","대전","Daejeon",88.62,15
"2019","2019-01-01","총지수","수도권","Capital Area",104.59,17.7
"2019","2019-01-01","총지수","영남권","Yeongnam",103.49,17.51
"2019","2019-01-01","총지수","충청권","Chungcheong",95.35,16.14
"2019","2019-01-01","총지수","호남권","Honam",96.07,16.26
"2019","2019-02-01","총지수","전국","Nationwide",96.96,100.01
"2019","2019-02-01","총지수","기타","Others",99.53,17.15
"2019","2019-02-01","총지수","대전","Daejeon",90.13,15.53
"2019","2019-02-01","총지수","수도권","Capital Area",103.59,17.85
"2019","2019-02-01","총지수","영남권","Yeongnam",100.44,17.31
"2019","2019-02-01","총지수","충청권","Chungcheong",93.3,16.08
"2019","2019-02-01","총지수","호남권","Honam",93.35,16.09
"2019","2019-03-01","총지수","전국","Nationwide",99.35,99.99
"2019","2019-03-01","총지수","기타","Others",97.86,16.43
"2019","2019-03-01","총지수","대전","Daejeon",102.53,17.22
"2019","2019-03-01","총지수","수도권","Capital Area",102.51,17.21
"2019","2019-03-01","총지수","영남권","Yeongnam",101.77,17.09
"2019","2019-03-01","총지수","충청권","Chungcheong",95.41,16.02
"2019","2019-03-01","총지수","호남권","Honam",95.42,16.02
"2019","2019-04-01","총지수","전국","Nationwide",101.93,100
"2019","2019-04-01","총지수","기타","Others",99.34,16.26
"2019","2019-04-01","총지수","대전","Daejeon",107.66,17.62
"2019","2019-04-01","총지수","수도권","Capital Area",102.73,16.81
"2019","2019-04-01","총지수","영남권","Yeongnam",103.85,17
"2019","2019-04-01","총지수","충청권","Chungcheong",97.97,16.04
"2019","2019-04-01","총지수","호남권","Honam",99.4,16.27
"2019","2019-05-01","총지수","전국","Nationwide",100.86,100
"2019","2019-05-01","총지수","기타","Others",99.49,16.45
"2019","2019-05-01","총지수","대전","Daejeon",102.35,16.93
"2019","2019-05-01","총지수","수도권","Capital Area",103.69,17.15
"2019","2019-05-01","총지수","영남권","Yeongnam",104.34,17.26
