"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","구분","logistics_type","물동량"
"2023","영남권","Yeongnam","대전시","Daejeon","도착","권역 간","1789155"
"2023","호남권","Honam","대전시","Daejeon","도착","권역 간","250779"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","도착","권역 간","450200"
"2023","대전시","Daejeon","대전시","Daejeon","도착","권역 내","744614"
"2023","기타","Others","대전시","Daejeon","도착","권역 간","28579"
"2023","수도권","Capital Area","기타","Others","도착","권역 간","20426069"
"2023","영남권","Yeongnam","기타","Others","도착","권역 간","24948682"
"2023","호남권","Honam","기타","Others","도착","권역 간","7470628"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","도착","권역 간","14252327"
"2023","대전시","Daejeon","기타","Others","도착","권역 간","1015145"
"2023","기타","Others","기타","Others","도착","권역 내","65371676"
"2023","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","56550139"
"2023","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","53843158"
"2023","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","23803825"
"2023","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 내","124210324"
"2023","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","7679776"
"2023","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","도착","권역 간","7245042"
