"연도","base_city_kr","base_city_en","target_city_kr","target_city_en","구분","logistics_type","물동량"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 내","124533792"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","대전시","Daejeon","출발","권역 간","4720071"
"2020","충청권(대전제외)","Chungcheong(excl. DJ)","기타","Others","출발","권역 간","7348345"
"2021","수도권","Capital Area","수도권","Capital Area","출발","권역 내","434759082"
"2021","수도권","Capital Area","영남권","Yeongnam","출발","권역 간","63159515"
"2021","수도권","Capital Area","호남권","Honam","출발","권역 간","21074366"
"2021","수도권","Capital Area","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","79030755"
"2021","수도권","Capital Area","대전시","Daejeon","출발","권역 간","4565589"
"2021","수도권","Capital Area","기타","Others","출발","권역 간","15011821"
"2021","영남권","Yeongnam","수도권","Capital Area","출발","권역 간","47394968"
"2021","영남권","Yeongnam","영남권","Yeongnam","출발","권역 내","455481341"
"2021","영남권","Yeongnam","호남권","Honam","출발","권역 간","23911225"
"2021","영남권","Yeongnam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","30110360"
"2021","영남권","Yeongnam","대전시","Daejeon","출발","권역 간","2926366"
"2021","영남권","Yeongnam","기타","Others","출발","권역 간","5815432"
"2021","호남권","Honam","수도권","Capital Area","출발","권역 간","30521247"
"2021","호남권","Honam","영남권","Yeongnam","출발","권역 간","53408177"
"2021","호남권","Honam","호남권","Honam","출발","권역 내","205736886"
"2021","호남권","Honam","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","31717374"
"2021","호남권","Honam","대전시","Daejeon","출발","권역 간","3519874"
"2021","호남권","Honam","기타","Others","출발","권역 간","4870518"
"2021","대전시","Daejeon","수도권","Capital Area","출발","권역 간","1300428"
"2021","대전시","Daejeon","영남권","Yeongnam","출발","권역 간","2601990"
"2021","대전시","Daejeon","호남권","Honam","출발","권역 간","538186"
"2021","대전시","Daejeon","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","1702088"
"2021","대전시","Daejeon","대전시","Daejeon","출발","권역 내","4041811"
"2021","대전시","Daejeon","기타","Others","출발","권역 간","113149"
"2021","기타","Others","수도권","Capital Area","출발","권역 간","13564660"
"2021","기타","Others","영남권","Yeongnam","출발","권역 간","13697129"
"2021","기타","Others","호남권","Honam","출발","권역 간","4097092"
"2021","기타","Others","충청권(대전제외)","Chungcheong(excl. DJ)","출발","권역 간","9772141"
"2021","기타","Others","대전시","Daejeon","출발","권역 간","610815"
"2021","기타","Others","기타","Others","출발","권역 내","43614886"
"2021","충청권(대전제외)","Chungcheong(excl. DJ)","수도권","Capital Area","출발","권역 간","48114190"
