기간,지역,HS코드,품목명,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
2025,대전광역시,01,살아있는동물,7,7,185,3555,-3547
2025,대전광역시,02,육과식용설육(屑肉),0,0,298,13235,-13235
2025,대전광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,128,10138,9021,6857,3280
2025,대전광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,7,20,4491,5487,-5467
2025,대전광역시,05,다른류로분류되지않은동물성생산품,1,0,92,1764,-1764
2025,대전광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,0,0,249,1718,-1718
2025,대전광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),153,68,2071,10745,-10678
2025,대전광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,120,482,2002,763,-282
2025,대전광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,3,1,10725,487,-486
2025,대전광역시,10,곡물,2,2,1537,261317,-261315
2025,대전광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),13,185,1858,3375,-3191
2025,대전광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,49,3959,2772,32392,-28433
2025,대전광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),121,3392,537,3188,204
2025,대전광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,20,80,-80
2025,대전광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,9,11,7060,2088,-2077
2025,대전광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,57,196,6790,948,-752
2025,대전광역시,17,당류(糖類)와설탕과자,67,274,48259,1346,-1072
2025,대전광역시,18,코코아와그조제품,7,13,19215,382,-369
2025,대전광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,340,4889,126118,4739,151
2025,대전광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,702,33573,35325,21406,12167
2025,대전광역시,21,각종조제식료품,508,12772,527386,65632,-52860
2025,대전광역시,22,음료ㆍ주류ㆍ식초,135,2974,34024,11855,-8881
2025,대전광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,124,1301,2680,76698,-75398
2025,대전광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,1410,382218,1345,266874,115344
2025,대전광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,21,110,2665,24348,-24238
2025,대전광역시,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),0,0,40,2034,-2034
2025,대전광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,70,528,269,1876,-1348
2025,대전광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1084,13921,1435,254590,-240668
2025,대전광역시,29,유기화학품,718,10385,4710,333028,-322643
2025,대전광역시,30,의료용품,894,35599,23946,19228,16371
2025,대전광역시,31,비료,97,2559,151,1140,1419
2025,대전광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,758,27181,1311,15007,12175
