"year","base_city","base_region_en","base_region_kr","target_city","target_region_en","target_region_kr","cargo_volume","logistics_type"
"2019","광주","Honam","호남권","울산","Yeongnam","영남권","754504","권역 간"
"2019","광주","Honam","호남권","경기","Capital Area","수도권","1779222","권역 간"
"2019","광주","Honam","호남권","강원","Others","기타","169339","권역 간"
"2019","광주","Honam","호남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","470535","권역 간"
"2019","광주","Honam","호남권","충남","Chungcheong(excl. DJ)","충청권(대전제외)","1075334","권역 간"
"2019","광주","Honam","호남권","전북","Honam","호남권","878198","권역 내"
"2019","광주","Honam","호남권","전남","Honam","호남권","8339487","권역 내"
"2019","광주","Honam","호남권","경북","Yeongnam","영남권","920295","권역 간"
"2019","광주","Honam","호남권","경남","Yeongnam","영남권","1116391","권역 간"
"2019","광주","Honam","호남권","제주","Others","기타","0","권역 간"
"2019","대전","Daejeon","대전시","서울","Capital Area","수도권","173498","권역 간"
"2019","대전","Daejeon","대전시","부산","Yeongnam","영남권","1310958","권역 간"
"2019","대전","Daejeon","대전시","대구","Yeongnam","영남권","76617","권역 간"
"2019","대전","Daejeon","대전시","인천","Capital Area","수도권","239921","권역 간"
"2019","대전","Daejeon","대전시","광주","Honam","호남권","69417","권역 간"
"2019","대전","Daejeon","대전시","세종","Chungcheong(excl. DJ)","충청권(대전제외)","111453","권역 간"
"2019","대전","Daejeon","대전시","대전","Daejeon","대전시","3866207","권역 내"
"2019","대전","Daejeon","대전시","울산","Yeongnam","영남권","235116","권역 간"
"2019","대전","Daejeon","대전시","경기","Capital Area","수도권","884474","권역 간"
"2019","대전","Daejeon","대전시","강원","Others","기타","113745","권역 간"
"2019","대전","Daejeon","대전시","충북","Chungcheong(excl. DJ)","충청권(대전제외)","724716","권역 간"
"2019","대전","Daejeon","대전시","충남","Chungcheong(excl. DJ)","충청권(대전제외)","934311","권역 간"
"2019","대전","Daejeon","대전시","전북","Honam","호남권","202801","권역 간"
"2019","대전","Daejeon","대전시","전남","Honam","호남권","285561","권역 간"
"2019","대전","Daejeon","대전시","경북","Yeongnam","영남권","562870","권역 간"
"2019","대전","Daejeon","대전시","경남","Yeongnam","영남권","273715","권역 간"
"2019","대전","Daejeon","대전시","제주","Others","기타","0","권역 간"
"2019","울산","Yeongnam","영남권","서울","Capital Area","수도권","488338","권역 간"
"2019","울산","Yeongnam","영남권","부산","Yeongnam","영남권","15564102","권역 내"
"2019","울산","Yeongnam","영남권","대구","Yeongnam","영남권","1100495","권역 내"
"2019","울산","Yeongnam","영남권","인천","Capital Area","수도권","796901","권역 간"
"2019","울산","Yeongnam","영남권","광주","Honam","호남권","256726","권역 간"
"2019","울산","Yeongnam","영남권","세종","Chungcheong(excl. DJ)","충청권(대전제외)","196410","권역 간"
"2019","울산","Yeongnam","영남권","대전","Daejeon","대전시","303950","권역 간"
"2019","울산","Yeongnam","영남권","울산","Yeongnam","영남권","101148611","권역 내"
"2019","울산","Yeongnam","영남권","경기","Capital Area","수도권","3719703","권역 간"
"2019","울산","Yeongnam","영남권","강원","Others","기타","1567503","권역 간"
"2019","울산","Yeongnam","영남권","충북","Chungcheong(excl. DJ)","충청권(대전제외)","1572863","권역 간"
