"region_kr","region_en","flow_type","commodity","rank_num","year","cargo_vol","gap_period","gap_vol"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속 광물제품","1","2023","38965433","2022 - 2023","-4010132"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2020","30748922","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2021","33210671","2020 - 2021","2461749"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2022","34579561","2021 - 2022","1368890"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","비금속광물","2","2023","33295208","2022 - 2023","-1284353"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","제1차 금속 제품","3","2020","9685207","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","제1차 금속 제품","3","2021","10270390","2020 - 2021","585183"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","제1차 금속 제품","3","2022","9004687","2021 - 2022","-1265703"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","제1차 금속 제품","3","2023","6850795","2022 - 2023","-2153892"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","석회석광물","4","2020","3040518","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","석회석광물","4","2021","2731856","2020 - 2021","-308662"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","석회석광물","4","2022","3922387","2021 - 2022","1190531"
"충청권(대전제외)","Chungcheong(excl. DJ)","반입","석회석광물","4","2023","1479356","2022 - 2023","-2443031"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2020","2493348","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2021","4100424","2020 - 2021","1607076"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2022","23505762","2021 - 2022","19405338"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","코크스, 연탄 및 석유정제품","1","2023","25821492","2022 - 2023","2315730"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2020","30628878","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2021","29192174","2020 - 2021","-1436704"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2022","46098606","2021 - 2022","16906432"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속 광물제품","2","2023","50177214","2022 - 2023","4078608"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속광물","3","2020","38424764","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속광물","3","2021","37621695","2020 - 2021","-803069"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속광물","3","2022","25299087","2021 - 2022","-12322608"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","비금속광물","3","2023","34229647","2022 - 2023","8930560"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","화합물 및 화학제품","4","2020","12248774","기준연도",""
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","화합물 및 화학제품","4","2021","11333669","2020 - 2021","-915105"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","화합물 및 화학제품","4","2022","5483276","2021 - 2022","-5850393"
"충청권(대전제외)","Chungcheong(excl. DJ)","반출","화합물 및 화학제품","4","2023","5470448","2022 - 2023","-12828"
