기간,지역,HS코드,품목명,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
2024,대전광역시,01,살아있는동물,8,4,189,6896,-6892
2024,대전광역시,02,육과식용설육(屑肉),0,0,291,12880,-12880
2024,대전광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,135,15156,5936,5013,10143
2024,대전광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,1,17,10878,7669,-7652
2024,대전광역시,05,다른류로분류되지않은동물성생산품,2,78,109,4225,-4147
2024,대전광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,2,7,350,2496,-2489
2024,대전광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),495,234,2298,10895,-10660
2024,대전광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,11,59,1959,491,-431
2024,대전광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,5,1,12300,381,-380
2024,대전광역시,10,곡물,2,1,1940,256872,-256871
2024,대전광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),8,28,1943,5658,-5629
2024,대전광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,43,3919,2690,34319,-30400
2024,대전광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),76,1109,342,3722,-2613
2024,대전광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,26,290,-290
2024,대전광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,2,5,6111,2052,-2047
2024,대전광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,89,256,4596,810,-554
2024,대전광역시,17,당류(糖類)와설탕과자,44,142,45756,1120,-978
2024,대전광역시,18,코코아와그조제품,8,480,20799,437,43
2024,대전광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,245,4038,121475,4604,-565
2024,대전광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,689,26974,33720,14677,12297
2024,대전광역시,21,각종조제식료품,695,8712,522548,63922,-55211
2024,대전광역시,22,음료ㆍ주류ㆍ식초,118,2520,28444,13036,-10516
2024,대전광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,122,1203,2956,114447,-113245
2024,대전광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,1120,231679,1213,207056,24622
2024,대전광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,21,228,2242,25558,-25330
2024,대전광역시,26,광(鑛)ㆍ슬래그(slag)ㆍ회(灰),0,0,24,530,-530
2024,대전광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,52,298,265,1820,-1522
2024,대전광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,903,14414,1554,539744,-525330
2024,대전광역시,29,유기화학품,533,12272,3919,305189,-292917
2024,대전광역시,30,의료용품,723,29102,28714,13861,15241
