기간,지역,HS코드,품목명,수출 건수,수출 금액,수입 건수,수입 금액,무역수지
2024,대전광역시,31,비료,79,1386,117,1033,353
2024,대전광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,594,16679,1208,9314,7365
2024,대전광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,6090,109497,115026,21292,88205
2024,대전광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,769,11308,15826,5390,5918
2024,대전광역시,35,단백질계물질변성전분글루(glue)효소,1667,39812,1091,6984,32827
2024,대전광역시,36,화약류화공품성냥발화성합금특정가연성조제품,0,0,18,735,-735
2024,대전광역시,37,사진용이나영화용재료,88,1019,175,823,197
2024,대전광역시,38,각종화학공업생산품,3635,163113,5457,31221,131891
2024,대전광역시,39,플라스틱과그제품,4706,141082,77908,81701,59381
2024,대전광역시,40,고무와그제품,1736,22748,6138,21411,1337
2024,대전광역시,41,원피(모피는제외한다)와가죽,16,296,16,192,104
2024,대전광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,198,304,51056,11733,-11429
2024,대전광역시,43,모피ㆍ인조모피와이들의제품,0,0,60,13,-13
2024,대전광역시,44,목재와그제품목탄,34,440,1732,6847,-6408
2024,대전광역시,45,코르크(cork)와그제품,0,0,17,113,-113
2024,대전광역시,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),0,0,138,17,-17
2024,대전광역시,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],2,2,201,34327,-34326
2024,대전광역시,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,8037,347708,12324,67948,279759
2024,대전광역시,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,487,19930,10011,4479,15451
2024,대전광역시,50,견,6,111,23,0,111
2024,대전광역시,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,5,94,109,40,54
2024,대전광역시,52,면,183,6175,707,13197,-7021
2024,대전광역시,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,0,0,26,69,-69
2024,대전광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,2501,41843,267,3769,38074
2024,대전광역시,55,인조스테이플섬유,19,335,273,2290,-1955
2024,대전광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1528,76190,2406,6499,69691
2024,대전광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,12,290,1324,564,-275
2024,대전광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,0,0,1403,202,-202
2024,대전광역시,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,90,1562,620,9164,-7602
2024,대전광역시,60,메리야스편물과뜨개질편물,6,19,185,187,-168
2024,대전광역시,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),248,1242,46968,12975,-11733
2024,대전광역시,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),307,1410,98473,22909,-21499
2024,대전광역시,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,561,3202,20275,11208,-8006
2024,대전광역시,64,신발류ㆍ각반과이와유사한것이들의부분품,235,3372,52076,19826,-16454
2024,대전광역시,65,모자류와그부분품,115,216,9233,2441,-2225
2024,대전광역시,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,6,13,2237,726,-714
2024,대전광역시,67,조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품,0,0,3128,959,-959
2024,대전광역시,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,308,7384,1718,12177,-4794
2024,대전광역시,69,도자제품,74,767,4471,6165,-5398
2024,대전광역시,70,유리와유리제품,145,465,4897,13867,-13403
2024,대전광역시,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,130,1106,14133,3875,-2769
2024,대전광역시,72,철강,131,11303,935,64479,-53176
2024,대전광역시,73,철강의제품,3954,82698,30424,64266,18432
2024,대전광역시,74,구리와그제품,80,584,2008,8750,-8166
2024,대전광역시,75,니켈과그제품,34,943,141,3309,-2366
2024,대전광역시,76,알루미늄과그제품,793,11587,3749,104769,-93182
2024,대전광역시,78,납과그제품,564,335,114,638,-303
2024,대전광역시,79,아연과그제품,10,12,79,38,-26
2024,대전광역시,80,주석과그제품,1,2,14,4,-2
2024,대전광역시,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,164,9134,311,60454,-51320
2024,대전광역시,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,1140,5588,18883,4553,1035
2024,대전광역시,83,비금속(卑金屬)으로만든각종제품,570,2498,4475,4686,-2188
2024,대전광역시,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,16822,1038948,78049,591890,447057
2024,대전광역시,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,20563,1107019,201234,735568,371451
2024,대전광역시,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,7,673,86,70612,-69940
2024,대전광역시,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,8727,376143,10503,85586,290557
2024,대전광역시,88,항공기와우주선이들의부분품,28,166073,490,40120,125953
2024,대전광역시,89,선박과수상구조물,0,0,47,533,-533
2024,대전광역시,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,10800,363423,45454,333811,29612
2024,대전광역시,91,시계와그부분품,7,16,5539,925,-909
2024,대전광역시,92,악기와그부분품과부속품,2,2,1419,687,-685
2024,대전광역시,93,무기ㆍ총포탄과이들의부분품과부속품,4,4,294,343,-339
2024,대전광역시,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,771,2782,18046,28153,-25371
2024,대전광역시,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,3482,10026,30722,15735,-5709
2024,대전광역시,96,잡품,1696,26887,27551,5293,21594
2024,대전광역시,97,예술품ㆍ수집품ㆍ골동품,29,1753,299,376,1378
2024,대전광역시,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0,0,9,0,0
