"year","commodity","city","flow_type","cargo_volume","commodity_category","region_kr","region_en"
"2019","임산물","광주","반출","1591","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","광주","합계","78061","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","세종","반입","59825","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","세종","반출","11130","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","세종","합계","70955","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","대전","반입","77752","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","대전","반출","2304","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","대전","합계","80056","농축수산물 및 신선식품","대전시","Daejeon"
"2019","임산물","울산","반입","100906","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","울산","반출","11142","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","울산","합계","112048","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경기","반입","715549","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","경기","반출","278330","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","경기","합계","993879","농축수산물 및 신선식품","수도권","Capital Area"
"2019","임산물","강원","반입","213878","농축수산물 및 신선식품","기타","Others"
"2019","임산물","강원","반출","725900","농축수산물 및 신선식품","기타","Others"
"2019","임산물","강원","합계","939778","농축수산물 및 신선식품","기타","Others"
"2019","임산물","충북","반입","250168","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충북","반출","437444","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충북","합계","687612","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","반입","260599","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","반출","411270","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","충남","합계","671869","농축수산물 및 신선식품","충청권(대전제외)","Chungcheong(excl. DJ)"
"2019","임산물","전북","반입","307767","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전북","반출","286802","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전북","합계","594569","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","반입","137307","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","반출","1002261","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","전남","합계","1139568","농축수산물 및 신선식품","호남권","Honam"
"2019","임산물","경북","반입","401623","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경북","반출","630160","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경북","합계","1031783","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경남","반입","388593","농축수산물 및 신선식품","영남권","Yeongnam"
"2019","임산물","경남","반출","304073","농축수산물 및 신선식품","영남권","Yeongnam"
