"구분","city","region","region_en","city_en","total_2022","total_2023","gap_vol"
"도착","충남","충청권","Chungcheong","Chungnam","2378267","5077334","2699067"
"도착","수도권","수도권","Capital Area","Capital Area","8424562","8106955","-317607"
"도착","강원","기타","Others","Gangwon","1281678","1015145","-266533"
"도착","기타 (11개 지자체)","기타","Others","Others (11 Local Govs)","6825985","6563796","-262189"
"도착","대전","충청권","Chungcheong","Daejeon","908460","744614","-163846"
"출발","대전","충청권","Chungcheong","Daejeon","908460","744614","-163846"
"출발","기타 (11개 지자체)","기타","Others","Others (11 Local Govs)","2218685","2094923","-123762"
"출발","수도권","수도권","Capital Area","Capital Area","668159","596435","-71724"
"출발","충북","충청권","Chungcheong","Chungbuk","224541","180756","-43785"
"출발","충남","충청권","Chungcheong","Chungnam","276818","243034","-33784"
