연도,기준지역,대상지역,구분,물동량
2019,전남,서울,출발,2058909
2019,전남,부산,출발,3911614
2019,전남,대구,출발,1525855
2019,전남,인천,출발,2260270
2019,전남,광주,출발,7048069
2019,전남,세종,출발,1676843
2019,전남,대전,출발,1308980
2019,전남,울산,출발,4408399
2019,전남,경기,출발,13449679
2019,전남,강원,출발,3266261
2019,전남,충북,출발,5782148
2019,전남,충남,출발,9043056
2019,전남,전북,출발,8730761
2019,전남,전남,출발,129135963
2019,전남,경북,출발,8121883
2019,전남,경남,출발,9110439
2019,전남,제주,출발,0
2019,경북,서울,출발,2387283
2019,경북,부산,출발,17204732
2019,경북,대구,출발,4254852
2019,경북,인천,출발,1843616
2019,경북,광주,출발,763300
2019,경북,세종,출발,490148
2019,경북,대전,출발,1077966
2019,경북,울산,출발,8539236
2019,경북,경기,출발,9416103
2019,경북,강원,출발,3454565
2019,경북,충북,출발,5435226
2019,경북,충남,출발,5444021
2019,경북,전북,출발,2203186
2019,경북,전남,출발,3896714
2019,경북,경북,출발,63771940
2019,경북,경남,출발,7072812
2019,경북,제주,출발,0
2019,경남,서울,출발,1501038
2019,경남,부산,출발,28586338
2019,경남,대구,출발,3099498
2019,경남,인천,출발,1500842
2019,경남,광주,출발,1004416
2019,경남,세종,출발,427349
2019,경남,대전,출발,939013
2019,경남,울산,출발,9404499
2019,경남,경기,출발,8254060
2019,경남,강원,출발,2556241
2019,경남,충북,출발,3584586
2019,경남,충남,출발,4666749
2019,경남,전북,출발,2834892
2019,경남,전남,출발,6928796
2019,경남,경북,출발,10947281
2019,경남,경남,출발,79738422
2019,경남,제주,출발,0
2019,제주,서울,출발,0
2019,제주,부산,출발,0
2019,제주,대구,출발,0
2019,제주,인천,출발,0
2019,제주,광주,출발,0
2019,제주,세종,출발,0
2019,제주,대전,출발,0
2019,제주,울산,출발,0
2019,제주,경기,출발,0
2019,제주,강원,출발,0
2019,제주,충북,출발,0
2019,제주,충남,출발,0
2019,제주,전북,출발,0
2019,제주,전남,출발,0
2019,제주,경북,출발,0
2019,제주,경남,출발,0
2019,제주,제주,출발,9376659
2019,세종,서울,출발,342030
2019,세종,부산,출발,480023
2019,세종,대구,출발,135665
2019,세종,인천,출발,407434
2019,세종,광주,출발,115502
2019,세종,세종,출발,2581444
2019,세종,대전,출발,649624
2019,세종,울산,출발,293245
2019,세종,경기,출발,3200579
2019,세종,강원,출발,555895
2019,세종,충북,출발,3898433
2019,세종,충남,출발,4668356
2019,세종,전북,출발,563421
2019,세종,전남,출발,634206
2019,세종,경북,출발,1301929
2019,세종,경남,출발,471805
2019,세종,제주,출발,0
2020,서울,서울,출발,32668611
2020,서울,부산,출발,879870
2020,서울,대구,출발,246905
2020,서울,인천,출발,1622015
2020,서울,광주,출발,181615
2020,서울,세종,출발,117497
2020,서울,대전,출발,294377
2020,서울,울산,출발,429498
2020,서울,경기,출발,16739449
2020,서울,강원,출발,858841
2020,서울,충북,출발,1086555
2020,서울,충남,출발,1608799
2020,서울,전북,출발,249708
2020,서울,전남,출발,509461
2020,서울,경북,출발,1233957
2020,서울,경남,출발,758943
2020,서울,제주,출발,0
2020,부산,서울,출발,1732550
2020,부산,부산,출발,38446239
2020,부산,대구,출발,1722556
2020,부산,인천,출발,3479945
2020,부산,광주,출발,880264
2020,부산,세종,출발,553008
2020,부산,대전,출발,688262
2020,부산,울산,출발,12632453
2020,부산,경기,출발,17096810
2020,부산,강원,출발,686200
2020,부산,충북,출발,4149408
2020,부산,충남,출발,3945331
2020,부산,전북,출발,1505459
2020,부산,전남,출발,2262487
2020,부산,경북,출발,10707194
2020,부산,경남,출발,21064077
2020,부산,제주,출발,0
2020,대구,서울,출발,771193
2020,대구,부산,출발,3228088
2020,대구,대구,출발,11159681
2020,대구,인천,출발,410669
2020,대구,광주,출발,312874
2020,대구,세종,출발,129262
2020,대구,대전,출발,318716
2020,대구,울산,출발,1738290
2020,대구,경기,출발,2468148
2020,대구,강원,출발,500323
2020,대구,충북,출발,1179669
2020,대구,충남,출발,1631557
2020,대구,전북,출발,597265
2020,대구,전남,출발,874038
2020,대구,경북,출발,8503959
2020,대구,경남,출발,3482021
2020,대구,제주,출발,0
2020,인천,서울,출발,12490451
2020,인천,부산,출발,3187858
2020,인천,대구,출발,627813
2020,인천,인천,출발,95444949
2020,인천,광주,출발,525339
2020,인천,세종,출발,557576
2020,인천,대전,출발,993047
2020,인천,울산,출발,2564670
2020,인천,경기,출발,67032872
2020,인천,강원,출발,3639138
2020,인천,충북,출발,4959200
2020,인천,충남,출발,9916943
2020,인천,전북,출발,1696618
2020,인천,전남,출발,3817676
2020,인천,경북,출발,4716171
2020,인천,경남,출발,2471224
2020,인천,제주,출발,0
2020,광주,서울,출발,432618
2020,광주,부산,출발,2265410
2020,광주,대구,출발,225510
2020,광주,인천,출발,384491
2020,광주,광주,출발,7018146
2020,광주,세종,출발,53169
2020,광주,대전,출발,216503
2020,광주,울산,출발,869361
2020,광주,경기,출발,1854397
2020,광주,강원,출발,178955
2020,광주,충북,출발,480773
2020,광주,충남,출발,1101507
2020,광주,전북,출발,928817
2020,광주,전남,출발,8052783
2020,광주,경북,출발,951554
2020,광주,경남,출발,1163219
2020,광주,제주,출발,0
2020,대전,서울,출발,193396
2020,대전,부산,출발,1317637
2020,대전,대구,출발,84226
2020,대전,인천,출발,239712
2020,대전,광주,출발,75339
2020,대전,세종,출발,117059
2020,대전,대전,출발,4042179
2020,대전,울산,출발,249076
2020,대전,경기,출발,922966
2020,대전,강원,출발,119361
2020,대전,충북,출발,754804
2020,대전,충남,출발,964371
2020,대전,전북,출발,210730
2020,대전,전남,출발,328154
2020,대전,경북,출발,582819
2020,대전,경남,출발,288464
2020,대전,제주,출발,0
2020,울산,서울,출발,304135
2020,울산,부산,출발,14046251
2020,울산,대구,출발,635310
2020,울산,인천,출발,403544
2020,울산,광주,출발,210701
2020,울산,세종,출발,76411
2020,울산,대전,출발,175649
2020,울산,울산,출발,92380440
2020,울산,경기,출발,2010877
2020,울산,강원,출발,446986
2020,울산,충북,출발,759505
2020,울산,충남,출발,1225071
2020,울산,전북,출발,455225
2020,울산,전남,출발,1537187
2020,울산,경북,출발,4666355
2020,울산,경남,출발,4028206
2020,울산,제주,출발,0
2020,경기,서울,출발,20980390
2020,경기,부산,출발,16758236
2020,경기,대구,출발,1523411
2020,경기,인천,출발,18413459
2020,경기,광주,출발,1235762
2020,경기,세종,출발,1330598
2020,경기,대전,출발,2736630
2020,경기,울산,출발,4388180
2020,경기,경기,출발,137702306
2020,경기,강원,출발,6646866
2020,경기,충북,출발,13243197
2020,경기,충남,출발,38717686
2020,경기,전북,출발,4362687
2020,경기,전남,출발,4868620
2020,경기,경북,출발,9837422
2020,경기,경남,출발,5263844
2020,경기,제주,출발,0
2020,강원,서울,출발,2069045
2020,강원,부산,출발,1650677
2020,강원,대구,출발,891337
2020,강원,인천,출발,1485520
2020,강원,광주,출발,361939
2020,강원,세종,출발,508818
2020,강원,대전,출발,668926
2020,강원,울산,출발,2063055
2020,강원,경기,출발,14098674
2020,강원,강원,출발,36629399
2020,강원,충북,출발,5692567
2020,강원,충남,출발,4990576
2020,강원,전북,출발,1634893
2020,강원,전남,출발,2417066
2020,강원,경북,출발,7488028
2020,강원,경남,출발,2438446
2020,강원,제주,출발,0
2020,충북,서울,출발,1846122
2020,충북,부산,출발,3227865
2020,충북,대구,출발,945603
2020,충북,인천,출발,1347345
2020,충북,광주,출발,464930
2020,충북,세종,출발,1414284
2020,충북,대전,출발,1576999
2020,충북,울산,출발,2307201
2020,충북,경기,출발,12709896
2020,충북,강원,출발,4276163
2020,충북,충북,출발,18810808
2020,충북,충남,출발,8215914
2020,충북,전북,출발,1999292
2020,충북,전남,출발,2571479
2020,충북,경북,출발,6112245
2020,충북,경남,출발,2628267
2020,충북,제주,출발,0
2020,충남,서울,출발,3218660
2020,충남,부산,출발,5235730
2020,충남,대구,출발,1000850
2020,충남,인천,출발,3250221
2020,충남,광주,출발,890142
2020,충남,세종,출발,1662469
2020,충남,대전,출발,2535641
2020,충남,울산,출발,2828489
2020,충남,경기,출발,25980168
2020,충남,강원,출발,2584696
2020,충남,충북,출발,7269432
2020,충남,충남,출발,77271817
2020,충남,전북,출발,4777632
2020,충남,전남,출발,4151459
2020,충남,경북,출발,5727406
2020,충남,경남,출발,3181443
2020,충남,제주,출발,0
2020,전북,서울,출발,2268456
2020,전북,부산,출발,3037156
2020,전북,대구,출발,1268782
2020,전북,인천,출발,1386895
2020,전북,광주,출발,2187586
2020,전북,세종,출발,683338
2020,전북,대전,출발,1965197
2020,전북,울산,출발,1994334
2020,전북,경기,출발,10431422
2020,전북,강원,출발,2099421
2020,전북,충북,출발,4581243
2020,전북,충남,출발,9482624
2020,전북,전북,출발,35101162
2020,전북,전남,출발,8702205
2020,전북,경북,출발,6177346
2020,전북,경남,출발,4677727
2020,전북,제주,출발,0
2020,전남,서울,출발,1860580
2020,전남,부산,출발,4108442
2020,전남,대구,출발,1574577
2020,전남,인천,출발,1541310
2020,전남,광주,출발,7172901
2020,전남,세종,출발,1629672
2020,전남,대전,출발,1228904
2020,전남,울산,출발,4871732
2020,전남,경기,출발,12011279
2020,전남,강원,출발,2816975
2020,전남,충북,출발,5390504
2020,전남,충남,출발,8303445
2020,전남,전북,출발,8366904
2020,전남,전남,출발,122266607
2020,전남,경북,출발,8304798
2020,전남,경남,출발,9289769
2020,전남,제주,출발,0
2020,경북,서울,출발,1832623
2020,경북,부산,출발,16312443
2020,경북,대구,출발,4179689
2020,경북,인천,출발,1356152
2020,경북,광주,출발,776795
2020,경북,세종,출발,424484
2020,경북,대전,출발,988440
2020,경북,울산,출발,8299089
2020,경북,경기,출발,8288409
2020,경북,강원,출발,3001646
2020,경북,충북,출발,4740100
2020,경북,충남,출발,4865969
2020,경북,전북,출발,1979556
2020,경북,전남,출발,3474456
2020,경북,경북,출발,60789502
2020,경북,경남,출발,6901430
2020,경북,제주,출발,0
2020,경남,서울,출발,1345938
2020,경남,부산,출발,27139453
2020,경남,대구,출발,2950726
2020,경남,인천,출발,1012331
2020,경남,광주,출발,959178
2020,경남,세종,출발,344685
2020,경남,대전,출발,830463
2020,경남,울산,출발,9841903
2020,경남,경기,출발,6800034
2020,경남,강원,출발,1903285
2020,경남,충북,출발,3011408
2020,경남,충남,출발,4044465
2020,경남,전북,출발,2440337
2020,경남,전남,출발,6393940
2020,경남,경북,출발,10424454
2020,경남,경남,출발,69045854
2020,경남,제주,출발,0
2020,제주,서울,출발,0
2020,제주,부산,출발,0
2020,제주,대구,출발,0
2020,제주,인천,출발,0
2020,제주,광주,출발,0
2020,제주,세종,출발,0
2020,제주,대전,출발,0
2020,제주,울산,출발,0
2020,제주,경기,출발,0
2020,제주,강원,출발,0
2020,제주,충북,출발,0
2020,제주,충남,출발,0
2020,제주,전북,출발,0
2020,제주,전남,출발,0
