"배송년월일","송하인_시명","송하인_시코드","송하인_구명","송하인_구코드","수하인_시명","수하인_시코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20210401,서울특별시,11,성북구,11290,광주광역시,29,77,414,72,221,653,121,257,131,1601,469,315
20210401,서울특별시,11,성북구,11290,대전광역시,30,72,434,85,243,606,119,287,126,1357,446,333
20210401,서울특별시,11,성북구,11290,울산광역시,31,51,258,50,141,483,82,190,103,986,296,250
20210401,서울특별시,11,성북구,11290,세종특별자치시,36,11,129,23,56,156,28,67,53,344,109,67
20210401,서울특별시,11,성북구,11290,경기도,41,851,4092,626,2177,6330,1182,2644,1285,12945,4236,3044
20210401,서울특별시,11,성북구,11290,강원도,42,88,451,96,203,698,138,273,131,1408,405,339
20210401,서울특별시,11,성북구,11290,충청북도,43,91,415,84,227,726,126,301,144,1398,450,345
20210401,서울특별시,11,성북구,11290,충청남도,44,134,539,99,298,937,176,360,177,1808,576,484
20210401,서울특별시,11,성북구,11290,전라북도,45,91,386,91,180,636,116,264,146,1470,412,358
20210401,서울특별시,11,성북구,11290,전라남도,46,76,395,123,228,665,116,269,139,1322,424,382
20210401,서울특별시,11,성북구,11290,경상북도,47,127,603,127,336,1010,183,356,202,2062,633,503
20210401,서울특별시,11,성북구,11290,경상남도,48,168,880,144,401,1359,240,522,270,2628,861,664
20210401,서울특별시,11,성북구,11290,제주특별자치도,50,26,126,40,69,225,39,58,32,435,135,112
20210401,서울특별시,11,강동구,11740,서울특별시,11,421,913,108,387,1242,93,2248,108,938,381,340
20210401,서울특별시,11,강동구,11740,부산광역시,26,93,219,22,79,360,19,617,37,219,84,74
20210401,서울특별시,11,강동구,11740,대구광역시,27,48,150,10,59,214,18,441,15,133,67,71
20210401,서울특별시,11,강동구,11740,인천광역시,28,92,187,26,121,330,17,544,28,205,94,72
20210401,서울특별시,11,강동구,11740,광주광역시,29,58,79,5,40,137,11,254,14,103,37,47
20210401,서울특별시,11,강동구,11740,대전광역시,30,44,114,7,50,153,10,270,8,92,41,33
20210401,서울특별시,11,강동구,11740,울산광역시,31,37,76,6,29,109,8,184,11,70,22,23
20210401,서울특별시,11,중랑구,11260,서울특별시,11,363,1476,253,543,2207,202,879,310,1995,709,515
20210401,서울특별시,11,은평구,11380,서울특별시,11,124,575,134,246,1384,204,1041,205,1053,452,644
20210401,서울특별시,11,은평구,11380,부산광역시,26,30,171,26,56,473,51,327,84,267,92,219
20210401,서울특별시,11,은평구,11380,대구광역시,27,19,96,19,47,258,43,181,55,182,65,139
20210401,서울특별시,11,은평구,11380,인천광역시,28,19,159,30,58,390,40,272,99,287,85,212
20210401,서울특별시,11,은평구,11380,광주광역시,29,18,78,15,30,219,22,125,27,141,58,105
20210401,서울특별시,11,은평구,11380,대전광역시,30,11,62,17,27,220,14,148,27,120,32,99
20210401,서울특별시,11,은평구,11380,울산광역시,31,9,57,8,29,146,15,108,28,96,28,69
20210401,서울특별시,11,은평구,11380,세종특별자치시,36,0,21,3,9,53,7,27,21,30,11,27
20210401,서울특별시,11,중랑구,11260,부산광역시,26,68,355,77,174,627,61,267,70,422,153,171
20210401,서울특별시,11,중랑구,11260,대구광역시,27,48,210,58,106,487,34,152,45,316,117,141
20210401,서울특별시,11,중랑구,11260,인천광역시,28,76,345,48,139,641,48,245,73,446,177,152
20210401,서울특별시,11,중랑구,11260,광주광역시,29,37,163,33,88,294,30,113,32,223,83,86
20210401,서울특별시,11,중랑구,11260,대전광역시,30,38,146,38,86,306,21,121,31,187,76,77
20210401,서울특별시,11,중랑구,11260,울산광역시,31,31,105,29,60,220,33,72,29,143,63,47
20210401,서울특별시,11,중랑구,11260,세종특별자치시,36,11,35,11,11,98,8,39,14,40,19,23
20210401,서울특별시,11,중랑구,11260,경기도,41,419,1848,339,734,3198,325,1112,416,2113,800,727
20210401,서울특별시,11,중랑구,11260,강원도,42,54,197,38,79,316,35,111,40,176,77,75
20210401,서울특별시,11,중랑구,11260,충청북도,43,39,193,44,69,334,38,130,42,205,94,68
20210401,서울특별시,11,중랑구,11260,충청남도,44,51,282,52,82,407,49,149,58,284,99,92
20210401,서울특별시,11,중랑구,11260,전라북도,45,35,158,48,90,326,18,114,36,174,91,68
20210401,서울특별시,11,중랑구,11260,전라남도,46,37,175,27,99,290,34,116,47,181,88,81
20210401,서울특별시,11,중랑구,11260,경상북도,47,56,259,54,99,463,41,147,63,297,133,114
20210401,서울특별시,11,중랑구,11260,경상남도,48,55,374,66,148,608,64,223,73,403,161,167
20210401,서울특별시,11,중랑구,11260,제주특별자치도,50,17,37,3,18,83,9,26,7,51,28,10
20210401,서울특별시,11,도봉구,11320,대전광역시,30,21,66,10,118,119,8,79,22,109,76,85
20210401,서울특별시,11,도봉구,11320,광주광역시,29,35,63,18,108,89,19,84,22,135,74,82
20210401,서울특별시,11,도봉구,11320,제주특별자치도,50,14,13,0,22,28,0,17,4,27,16,12
20210401,서울특별시,11,노원구,11350,부산광역시,26,46,163,21,80,347,37,320,126,747,126,89
20210401,서울특별시,11,노원구,11350,대구광역시,27,57,121,30,72,234,19,189,72,615,71,75
20210401,서울특별시,11,노원구,11350,인천광역시,28,73,146,30,87,312,32,333,126,863,96,103
20210401,서울특별시,11,중구,11140,충청북도,43,43,208,34,48,199,32,141,29,589,184,29
20210401,서울특별시,11,노원구,11350,광주광역시,29,27,90,8,49,130,16,129,56,476,47,53
20210401,서울특별시,11,노원구,11350,대전광역시,30,48,90,12,46,155,16,132,47,434,42,50
20210401,서울특별시,11,노원구,11350,울산광역시,31,19,72,8,33,97,11,104,32,294,38,29
20210401,서울특별시,11,노원구,11350,세종특별자치시,36,11,22,8,12,43,5,49,17,118,16,11
20210401,서울특별시,11,중구,11140,강원도,42,28,236,59,34,198,41,143,24,530,186,25
20210401,서울특별시,11,중구,11140,경기도,41,362,3764,404,532,1936,424,1655,310,5958,2032,266
20210401,서울특별시,11,중구,11140,세종특별자치시,36,14,49,11,8,42,9,26,11,150,50,3
20210401,서울특별시,11,중구,11140,울산광역시,31,25,141,29,29,104,35,83,29,429,140,20
20210401,서울특별시,11,중구,11140,대전광역시,30,31,235,46,59,160,58,110,42,703,199,23
20210401,서울특별시,11,금천구,11545,서울특별시,11,683,3607,305,1607,1916,746,1404,595,8173,3194,2215
20210401,서울특별시,11,강동구,11740,세종특별자치시,36,11,17,0,15,55,4,67,5,25,17,9
20210401,서울특별시,11,강동구,11740,경기도,41,428,1095,99,426,1551,120,2691,189,937,413,375
20210401,서울특별시,11,강동구,11740,강원도,42,65,103,11,34,125,17,306,19,80,26,46
20210401,서울특별시,11,금천구,11545,부산광역시,26,127,500,42,342,514,204,418,131,1643,584,470
