연도,출발지,도착지,품목,물동량_톤
2022,서울특별시,인천광역시,"인쇄,기록매체",15110
2022,서울특별시,인천광역시,"코크스,연탄,석유정제품",21005
2022,서울특별시,인천광역시,"화합물,화학제품",7200
2022,서울특별시,인천광역시,"고무,플라스틱제품",18325
2022,서울특별시,인천광역시,비금속광물제품,7576
2022,서울특별시,인천광역시,제1차금속제품,859
2022,서울특별시,인천광역시,금속가공제품,52400
2022,서울특별시,인천광역시,"기타기계,장비제조품",19303
2022,서울특별시,인천광역시,"전자부품,컴퓨터,영상,음향,통신장비",3960
2022,서울특별시,인천광역시,전기장비제품,3219
2022,서울특별시,인천광역시,"의료,정밀,광학기기,시계",17694
2022,서울특별시,인천광역시,"자동차,트레일러",902
2022,서울특별시,인천광역시,기타운송장비,116
2022,서울특별시,인천광역시,가구제품,327
2022,서울특별시,인천광역시,기타제품,937
2022,서울특별시,인천광역시,*) 재생제품,6500604
2022,서울특별시,인천광역시,*) 기타,85655
2022,서울특별시,광주광역시,합계,2048727
2022,서울특별시,광주광역시,농산물,19
2022,서울특별시,광주광역시,임산물,30
2022,서울특별시,광주광역시,수산물,1
2022,서울특별시,광주광역시,축산물,0
2022,서울특별시,광주광역시,석탄광물,0
2022,서울특별시,광주광역시,석회석광물,0
2022,서울특별시,광주광역시,비금속광물,2113
2022,서울특별시,광주광역시,음식료품,4371
2022,서울특별시,광주광역시,담배제품,0
2022,서울특별시,광주광역시,섬유제품,928
2022,서울특별시,광주광역시,의복,14513
2022,서울특별시,광주광역시,가죽,700
2022,서울특별시,광주광역시,"목재,나무제품",23
2022,서울특별시,광주광역시,"펄프,종이",494
2022,서울특별시,광주광역시,"인쇄,기록매체",4002
2022,서울특별시,광주광역시,"코크스,연탄,석유정제품",1139
2022,서울특별시,광주광역시,"화합물,화학제품",904
2022,서울특별시,광주광역시,"고무,플라스틱제품",1799
2022,서울특별시,광주광역시,비금속광물제품,1205
2022,서울특별시,광주광역시,제1차금속제품,186
2022,서울특별시,광주광역시,금속가공제품,8029
2022,서울특별시,광주광역시,"기타기계,장비제조품",1416
2022,서울특별시,광주광역시,"전자부품,컴퓨터,영상,음향,통신장비",408
2022,서울특별시,광주광역시,전기장비제품,514
2022,서울특별시,광주광역시,"의료,정밀,광학기기,시계",2277
2022,서울특별시,광주광역시,"자동차,트레일러",22
2022,서울특별시,광주광역시,기타운송장비,2
2022,서울특별시,광주광역시,가구제품,105
2022,서울특별시,광주광역시,기타제품,250
2022,서울특별시,광주광역시,*) 재생제품,2003277
2022,서울특별시,광주광역시,*) 기타,0
2022,서울특별시,대전광역시,합계,2727886
2022,서울특별시,대전광역시,농산물,38
2022,서울특별시,대전광역시,임산물,41
2022,서울특별시,대전광역시,수산물,2
2022,서울특별시,대전광역시,축산물,0
2022,서울특별시,대전광역시,석탄광물,0
2022,서울특별시,대전광역시,석회석광물,0
2022,서울특별시,대전광역시,비금속광물,4471
2022,서울특별시,대전광역시,음식료품,6351
2022,서울특별시,대전광역시,담배제품,0
2022,서울특별시,대전광역시,섬유제품,1003
2022,서울특별시,대전광역시,의복,15473
2022,서울특별시,대전광역시,가죽,731
2022,서울특별시,대전광역시,"목재,나무제품",17
2022,서울특별시,대전광역시,"펄프,종이",1033
2022,서울특별시,대전광역시,"인쇄,기록매체",6878
2022,서울특별시,대전광역시,"코크스,연탄,석유정제품",1129
2022,서울특별시,대전광역시,"화합물,화학제품",1501
2022,서울특별시,대전광역시,"고무,플라스틱제품",3816
2022,서울특별시,대전광역시,비금속광물제품,1417
2022,서울특별시,대전광역시,제1차금속제품,110
2022,서울특별시,대전광역시,금속가공제품,5595
2022,서울특별시,대전광역시,"기타기계,장비제조품",1876
2022,서울특별시,대전광역시,"전자부품,컴퓨터,영상,음향,통신장비",992
2022,서울특별시,대전광역시,전기장비제품,305
2022,서울특별시,대전광역시,"의료,정밀,광학기기,시계",1912
2022,서울특별시,대전광역시,"자동차,트레일러",23
2022,서울특별시,대전광역시,기타운송장비,10
2022,서울특별시,대전광역시,가구제품,71
2022,서울특별시,대전광역시,기타제품,80
2022,서울특별시,대전광역시,*) 재생제품,2673011
2022,서울특별시,대전광역시,*) 기타,0
2022,서울특별시,울산광역시,합계,4136060
2022,서울특별시,울산광역시,농산물,20
2022,서울특별시,울산광역시,임산물,51
2022,서울특별시,울산광역시,수산물,1
2022,서울특별시,울산광역시,축산물,0
2022,서울특별시,울산광역시,석탄광물,0
2022,서울특별시,울산광역시,석회석광물,0
2022,서울특별시,울산광역시,비금속광물,6937
2022,서울특별시,울산광역시,음식료품,5769
2022,서울특별시,울산광역시,담배제품,0
2022,서울특별시,울산광역시,섬유제품,634
2022,서울특별시,울산광역시,의복,17460
2022,서울특별시,울산광역시,가죽,809
2022,서울특별시,울산광역시,"목재,나무제품",55
2022,서울특별시,울산광역시,"펄프,종이",1138
2022,서울특별시,울산광역시,"인쇄,기록매체",9270
2022,서울특별시,울산광역시,"코크스,연탄,석유정제품",40026
2022,서울특별시,울산광역시,"화합물,화학제품",14760
2022,서울특별시,울산광역시,"고무,플라스틱제품",3918
2022,서울특별시,울산광역시,비금속광물제품,3080
2022,서울특별시,울산광역시,제1차금속제품,937
2022,서울특별시,울산광역시,금속가공제품,27034
2022,서울특별시,울산광역시,"기타기계,장비제조품",4714
2022,서울특별시,울산광역시,"전자부품,컴퓨터,영상,음향,통신장비",882
2022,서울특별시,울산광역시,전기장비제품,1313
2022,서울특별시,울산광역시,"의료,정밀,광학기기,시계",4836
2022,서울특별시,울산광역시,"자동차,트레일러",110
2022,서울특별시,울산광역시,기타운송장비,157
2022,서울특별시,울산광역시,가구제품,228
2022,서울특별시,울산광역시,기타제품,501
2022,서울특별시,울산광역시,*) 재생제품,3991420
2022,서울특별시,울산광역시,*) 기타,0
2022,서울특별시,경기도,합계,35813380
2022,서울특별시,경기도,농산물,1941
2022,서울특별시,경기도,임산물,1667
2022,서울특별시,경기도,수산물,52
2022,서울특별시,경기도,축산물,19
2022,서울특별시,경기도,석탄광물,0
2022,서울특별시,경기도,석회석광물,0
2022,서울특별시,경기도,비금속광물,162209
2022,서울특별시,경기도,음식료품,259918
2022,서울특별시,경기도,담배제품,0
2022,서울특별시,경기도,섬유제품,38475
2022,서울특별시,경기도,의복,289921
2022,서울특별시,경기도,가죽,46234
2022,서울특별시,경기도,"목재,나무제품",953
2022,서울특별시,경기도,"펄프,종이",13212
2022,서울특별시,경기도,"인쇄,기록매체",108793
2022,서울특별시,경기도,"코크스,연탄,석유정제품",35950
2022,서울특별시,경기도,"화합물,화학제품",30715
2022,서울특별시,경기도,"고무,플라스틱제품",110132
2022,서울특별시,경기도,비금속광물제품,86785
2022,서울특별시,경기도,제1차금속제품,4882
2022,서울특별시,경기도,금속가공제품,245850
2022,서울특별시,경기도,"기타기계,장비제조품",103188
2022,서울특별시,경기도,"전자부품,컴퓨터,영상,음향,통신장비",75471
2022,서울특별시,경기도,전기장비제품,17531
2022,서울특별시,경기도,"의료,정밀,광학기기,시계",141600
2022,서울특별시,경기도,"자동차,트레일러",3131
2022,서울특별시,경기도,기타운송장비,344
2022,서울특별시,경기도,가구제품,2181
2022,서울특별시,경기도,기타제품,4878
2022,서울특별시,경기도,*) 재생제품,34024413
2022,서울특별시,경기도,*) 기타,2935
2022,서울특별시,강원특별자치도,합계,2558960
2022,서울특별시,강원특별자치도,농산물,138
2022,서울특별시,강원특별자치도,임산물,337
2022,서울특별시,강원특별자치도,수산물,19
2022,서울특별시,강원특별자치도,축산물,3
2022,서울특별시,강원특별자치도,석탄광물,0
2022,서울특별시,강원특별자치도,석회석광물,0
2022,서울특별시,강원특별자치도,비금속광물,46646
2022,서울특별시,강원특별자치도,음식료품,18292
2022,서울특별시,강원특별자치도,담배제품,0
2022,서울특별시,강원특별자치도,섬유제품,1204
2022,서울특별시,강원특별자치도,의복,13906
2022,서울특별시,강원특별자치도,가죽,815
2022,서울특별시,강원특별자치도,"목재,나무제품",21
2022,서울특별시,강원특별자치도,"펄프,종이",488
2022,서울특별시,강원특별자치도,"인쇄,기록매체",3063
2022,서울특별시,강원특별자치도,"코크스,연탄,석유정제품",2215
2022,서울특별시,강원특별자치도,"화합물,화학제품",981
2022,서울특별시,강원특별자치도,"고무,플라스틱제품",2589
2022,서울특별시,강원특별자치도,비금속광물제품,4445
2022,서울특별시,강원특별자치도,제1차금속제품,120
2022,서울특별시,강원특별자치도,금속가공제품,9043
2022,서울특별시,강원특별자치도,"기타기계,장비제조품",1157
2022,서울특별시,강원특별자치도,"전자부품,컴퓨터,영상,음향,통신장비",427
2022,서울특별시,강원특별자치도,전기장비제품,306
2022,서울특별시,강원특별자치도,"의료,정밀,광학기기,시계",5914
2022,서울특별시,강원특별자치도,"자동차,트레일러",72
2022,서울특별시,강원특별자치도,기타운송장비,63
2022,서울특별시,강원특별자치도,가구제품,67
2022,서울특별시,강원특별자치도,기타제품,169
2022,서울특별시,강원특별자치도,*) 재생제품,2446460
2022,서울특별시,강원특별자치도,*) 기타,0
2022,서울특별시,충청북도,합계,4439986
2022,서울특별시,충청북도,농산물,179
2022,서울특별시,충청북도,임산물,231
2022,서울특별시,충청북도,수산물,5
2022,서울특별시,충청북도,축산물,10
2022,서울특별시,충청북도,석탄광물,0
2022,서울특별시,충청북도,석회석광물,0
2022,서울특별시,충청북도,비금속광물,36790
2022,서울특별시,충청북도,음식료품,35508
2022,서울특별시,충청북도,담배제품,0
2022,서울특별시,충청북도,섬유제품,1928
2022,서울특별시,충청북도,의복,25781
2022,서울특별시,충청북도,가죽,1997
2022,서울특별시,충청북도,"목재,나무제품",89
2022,서울특별시,충청북도,"펄프,종이",1268
2022,서울특별시,충청북도,"인쇄,기록매체",10559
2022,서울특별시,충청북도,"코크스,연탄,석유정제품",1611
2022,서울특별시,충청북도,"화합물,화학제품",4829
2022,서울특별시,충청북도,"고무,플라스틱제품",9244
2022,서울특별시,충청북도,비금속광물제품,6920
2022,서울특별시,충청북도,제1차금속제품,517
2022,서울특별시,충청북도,금속가공제품,18493
2022,서울특별시,충청북도,"기타기계,장비제조품",4054
2022,서울특별시,충청북도,"전자부품,컴퓨터,영상,음향,통신장비",5953
2022,서울특별시,충청북도,전기장비제품,1215
2022,서울특별시,충청북도,"의료,정밀,광학기기,시계",10601
2022,서울특별시,충청북도,"자동차,트레일러",67
2022,서울특별시,충청북도,기타운송장비,26
2022,서울특별시,충청북도,가구제품,206
2022,서울특별시,충청북도,기타제품,421
2022,서울특별시,충청북도,*) 재생제품,4261484
2022,서울특별시,충청북도,*) 기타,0
2022,서울특별시,충청남도,합계,6650532
2022,서울특별시,충청남도,농산물,291
2022,서울특별시,충청남도,임산물,265
2022,서울특별시,충청남도,수산물,11
2022,서울특별시,충청남도,축산물,4
2022,서울특별시,충청남도,석탄광물,0
2022,서울특별시,충청남도,석회석광물,0
2022,서울특별시,충청남도,비금속광물,34365
2022,서울특별시,충청남도,음식료품,41735
2022,서울특별시,충청남도,담배제품,0
2022,서울특별시,충청남도,섬유제품,3124
2022,서울특별시,충청남도,의복,36279
2022,서울특별시,충청남도,가죽,1881
2022,서울특별시,충청남도,"목재,나무제품",121
2022,서울특별시,충청남도,"펄프,종이",1936
2022,서울특별시,충청남도,"인쇄,기록매체",10212
2022,서울특별시,충청남도,"코크스,연탄,석유정제품",19729
2022,서울특별시,충청남도,"화합물,화학제품",13341
2022,서울특별시,충청남도,"고무,플라스틱제품",17135
2022,서울특별시,충청남도,비금속광물제품,17059
2022,서울특별시,충청남도,제1차금속제품,1548
2022,서울특별시,충청남도,금속가공제품,34266
2022,서울특별시,충청남도,"기타기계,장비제조품",10721
2022,서울특별시,충청남도,"전자부품,컴퓨터,영상,음향,통신장비",15372
2022,서울특별시,충청남도,전기장비제품,2521
2022,서울특별시,충청남도,"의료,정밀,광학기기,시계",14549
2022,서울특별시,충청남도,"자동차,트레일러",274
2022,서울특별시,충청남도,기타운송장비,46
2022,서울특별시,충청남도,가구제품,445
2022,서울특별시,충청남도,기타제품,696
2022,서울특별시,충청남도,*) 재생제품,6372606
2022,서울특별시,충청남도,*) 기타,0
2022,서울특별시,전북특별자치도,합계,3422920
2022,서울특별시,전북특별자치도,농산물,118
2022,서울특별시,전북특별자치도,임산물,197
2022,서울특별시,전북특별자치도,수산물,5
2022,서울특별시,전북특별자치도,축산물,6
2022,서울특별시,전북특별자치도,석탄광물,0
2022,서울특별시,전북특별자치도,석회석광물,0
2022,서울특별시,전북특별자치도,비금속광물,17227
2022,서울특별시,전북특별자치도,음식료품,21056
2022,서울특별시,전북특별자치도,담배제품,0
2022,서울특별시,전북특별자치도,섬유제품,1591
2022,서울특별시,전북특별자치도,의복,20706
2022,서울특별시,전북특별자치도,가죽,875
2022,서울특별시,전북특별자치도,"목재,나무제품",48
2022,서울특별시,전북특별자치도,"펄프,종이",1226
2022,서울특별시,전북특별자치도,"인쇄,기록매체",4200
2022,서울특별시,전북특별자치도,"코크스,연탄,석유정제품",2704
2022,서울특별시,전북특별자치도,"화합물,화학제품",3100
2022,서울특별시,전북특별자치도,"고무,플라스틱제품",3129
2022,서울특별시,전북특별자치도,비금속광물제품,2486
2022,서울특별시,전북특별자치도,제1차금속제품,365
2022,서울특별시,전북특별자치도,금속가공제품,9552
2022,서울특별시,전북특별자치도,"기타기계,장비제조품",2419
2022,서울특별시,전북특별자치도,"전자부품,컴퓨터,영상,음향,통신장비",606
2022,서울특별시,전북특별자치도,전기장비제품,406
2022,서울특별시,전북특별자치도,"의료,정밀,광학기기,시계",2279
2022,서울특별시,전북특별자치도,"자동차,트레일러",104
2022,서울특별시,전북특별자치도,기타운송장비,64
2022,서울특별시,전북특별자치도,가구제품,137
2022,서울특별시,전북특별자치도,기타제품,205
2022,서울특별시,전북특별자치도,*) 재생제품,3327297
2022,서울특별시,전북특별자치도,*) 기타,812
2022,서울특별시,전라남도,합계,4336902
2022,서울특별시,전라남도,농산물,92
2022,서울특별시,전라남도,임산물,180
2022,서울특별시,전라남도,수산물,13
2022,서울특별시,전라남도,축산물,1
2022,서울특별시,전라남도,석탄광물,0
2022,서울특별시,전라남도,석회석광물,0
2022,서울특별시,전라남도,비금속광물,23344
2022,서울특별시,전라남도,음식료품,14311
2022,서울특별시,전라남도,담배제품,0
2022,서울특별시,전라남도,섬유제품,1164
2022,서울특별시,전라남도,의복,18322
2022,서울특별시,전라남도,가죽,788
2022,서울특별시,전라남도,"목재,나무제품",59
2022,서울특별시,전라남도,"펄프,종이",716
2022,서울특별시,전라남도,"인쇄,기록매체",5348
2022,서울특별시,전라남도,"코크스,연탄,석유정제품",28045
2022,서울특별시,전라남도,"화합물,화학제품",14194
2022,서울특별시,전라남도,"고무,플라스틱제품",2140
2022,서울특별시,전라남도,비금속광물제품,3783
2022,서울특별시,전라남도,제1차금속제품,1011
2022,서울특별시,전라남도,금속가공제품,11743
2022,서울특별시,전라남도,"기타기계,장비제조품",3377
2022,서울특별시,전라남도,"전자부품,컴퓨터,영상,음향,통신장비",549
2022,서울특별시,전라남도,전기장비제품,335
2022,서울특별시,전라남도,"의료,정밀,광학기기,시계",4388
2022,서울특별시,전라남도,"자동차,트레일러",11
2022,서울특별시,전라남도,기타운송장비,140
2022,서울특별시,전라남도,가구제품,158
2022,서울특별시,전라남도,기타제품,345
2022,서울특별시,전라남도,*) 재생제품,4172967
2022,서울특별시,전라남도,*) 기타,29378
2022,서울특별시,경상북도,합계,7679735
2022,서울특별시,경상북도,농산물,116
2022,서울특별시,경상북도,임산물,357
2022,서울특별시,경상북도,수산물,10
2022,서울특별시,경상북도,축산물,6
2022,서울특별시,경상북도,석탄광물,0
2022,서울특별시,경상북도,석회석광물,0
