시도별,산업별,산업코드,연도,지표,단위,값,비고
전라북도,광업 및 제조업,,2021,종사자수,명,89034.0,
전라북도,광업,05~08,2021,종사자수,명,557.0,
전라북도,제조업,10~34,2021,종사자수,명,88477.0,
전라남도,광업 및 제조업,,2021,종사자수,명,93279.0,
전라남도,광업,05~08,2021,종사자수,명,940.0,
전라남도,제조업,10~34,2021,종사자수,명,92339.0,
경상북도,광업 및 제조업,,2021,종사자수,명,235117.0,
경상북도,광업,05~08,2021,종사자수,명,888.0,
경상북도,제조업,10~34,2021,종사자수,명,234229.0,
경상남도,광업 및 제조업,,2021,종사자수,명,303123.0,
경상남도,광업,05~08,2021,종사자수,명,497.0,
경상남도,제조업,10~34,2021,종사자수,명,302626.0,
제주특별자치도,광업 및 제조업,,2021,종사자수,명,5799.0,
제주특별자치도,광업,05~08,2021,종사자수,명,149.0,
제주특별자치도,제조업,10~34,2021,종사자수,명,5650.0,
전국,광업 및 제조업,,2021,급여액,백만원,148700623.0,
전국,광업,05~08,2021,급여액,백만원,489541.0,
전국,제조업,10~34,2021,급여액,백만원,148211082.0,
서울특별시,광업 및 제조업,,2021,급여액,백만원,3644761.0,
서울특별시,광업,05~08,2021,급여액,백만원,,X
서울특별시,제조업,10~34,2021,급여액,백만원,3644403.0,
부산광역시,광업 및 제조업,,2021,급여액,백만원,5585154.0,
부산광역시,광업,05~08,2021,급여액,백만원,,X
부산광역시,제조업,10~34,2021,급여액,백만원,5583547.0,
대구광역시,광업 및 제조업,,2021,급여액,백만원,4201897.0,
대구광역시,광업,05~08,2021,급여액,백만원,,X
대구광역시,제조업,10~34,2021,급여액,백만원,4201302.0,
인천광역시,광업 및 제조업,,2021,급여액,백만원,7912773.0,
인천광역시,광업,05~08,2021,급여액,백만원,24665.0,
인천광역시,제조업,10~34,2021,급여액,백만원,7888108.0,
광주광역시,광업 및 제조업,,2021,급여액,백만원,3130070.0,
광주광역시,광업,05~08,2021,급여액,백만원,,X
광주광역시,제조업,10~34,2021,급여액,백만원,3129480.0,
대전광역시,광업 및 제조업,,2021,급여액,백만원,2089144.0,
대전광역시,광업,05~08,2021,급여액,백만원,0.0,-
대전광역시,제조업,10~34,2021,급여액,백만원,2089144.0,
울산광역시,광업 및 제조업,,2021,급여액,백만원,9506242.0,
울산광역시,광업,05~08,2021,급여액,백만원,15329.0,
울산광역시,제조업,10~34,2021,급여액,백만원,9490913.0,
세종특별자치시,광업 및 제조업,,2021,급여액,백만원,976450.0,
세종특별자치시,광업,05~08,2021,급여액,백만원,4341.0,
세종특별자치시,제조업,10~34,2021,급여액,백만원,972109.0,
경기도,광업 및 제조업,,2021,급여액,백만원,48537488.0,
경기도,광업,05~08,2021,급여액,백만원,65570.0,
경기도,제조업,10~34,2021,급여액,백만원,48471918.0,
강원특별자치도,광업 및 제조업,,2021,급여액,백만원,1808923.0,
강원특별자치도,광업,05~08,2021,급여액,백만원,173915.0,
강원특별자치도,제조업,10~34,2021,급여액,백만원,1635008.0,
충청북도,광업 및 제조업,,2021,급여액,백만원,9296063.0,
충청북도,광업,05~08,2021,급여액,백만원,39808.0,
충청북도,제조업,10~34,2021,급여액,백만원,9256255.0,
충청남도,광업 및 제조업,,2021,급여액,백만원,14988969.0,
충청남도,광업,05~08,2021,급여액,백만원,30868.0,
충청남도,제조업,10~34,2021,급여액,백만원,14958101.0,
전라북도,광업 및 제조업,,2021,급여액,백만원,4043607.0,
전라북도,광업,05~08,2021,급여액,백만원,26389.0,
전라북도,제조업,10~34,2021,급여액,백만원,4017218.0,
전라남도,광업 및 제조업,,2021,급여액,백만원,5021851.0,
전라남도,광업,05~08,2021,급여액,백만원,35473.0,
전라남도,제조업,10~34,2021,급여액,백만원,4986378.0,
경상북도,광업 및 제조업,,2021,급여액,백만원,12877226.0,
경상북도,광업,05~08,2021,급여액,백만원,38869.0,
경상북도,제조업,10~34,2021,급여액,백만원,12838357.0,
경상남도,광업 및 제조업,,2021,급여액,백만원,14842912.0,
경상남도,광업,05~08,2021,급여액,백만원,25090.0,
경상남도,제조업,10~34,2021,급여액,백만원,14817822.0,
제주특별자치도,광업 및 제조업,,2021,급여액,백만원,237093.0,
제주특별자치도,광업,05~08,2021,급여액,백만원,6074.0,
제주특별자치도,제조업,10~34,2021,급여액,백만원,231019.0,
전국,광업 및 제조업,,2021,출하액,백만원,1768983137.0,
전국,광업,05~08,2021,출하액,백만원,3319485.0,
전국,제조업,10~34,2021,출하액,백만원,1765663652.0,
서울특별시,광업 및 제조업,,2021,출하액,백만원,33492829.0,
서울특별시,광업,05~08,2021,출하액,백만원,,X
서울특별시,제조업,10~34,2021,출하액,백만원,33489713.0,
부산광역시,광업 및 제조업,,2021,출하액,백만원,46891699.0,
부산광역시,광업,05~08,2021,출하액,백만원,,X
부산광역시,제조업,10~34,2021,출하액,백만원,46878131.0,
대구광역시,광업 및 제조업,,2021,출하액,백만원,33170882.0,
대구광역시,광업,05~08,2021,출하액,백만원,,X
대구광역시,제조업,10~34,2021,출하액,백만원,33169060.0,
인천광역시,광업 및 제조업,,2021,출하액,백만원,77181668.0,
인천광역시,광업,05~08,2021,출하액,백만원,176728.0,
인천광역시,제조업,10~34,2021,출하액,백만원,77004940.0,
광주광역시,광업 및 제조업,,2021,출하액,백만원,38757413.0,
광주광역시,광업,05~08,2021,출하액,백만원,,X
