지역명,연도,수출_금액증감률,수출_중량증감률,수출액_백만불,수출중량_천톤,수출단가_USD_kg,수입_금액증감률,수입_중량증감률,수입액_백만불,수입중량_천톤,수입단가_USD_kg,수지_금액,수지_중량,중량비_수입대수출
대구,2007,13.9,-0.2,4039.853,708.763523,5.699860205700795,9.2,11.7,2849.208,1541.752109,1.8480324971619675,1190645,-832988586,2.175270113329464
대구,2008,12.2,6.5,4534.037,754.67983,6.007894765121787,7.4,-1.8,3058.806,1513.886784,2.020498515693496,1475231,-759206954,2.00599873458921
대구,2009,-14.2,-8.8,3891.747,688.257843,5.654489868268744,-29.1,-21.5,2168.782,1189.01423,1.8240168580656937,1722965,-500756387,1.7275709126935441
대구,2010,33.4,15.8,5193.234,797.127644,6.514934012249611,41.8,27.4,3075.882,1514.781543,2.030577949813322,2117352,-717653899,1.9002998508479778
대구,2011,22.7,15.3,6371.158,919.324462,6.930260493818993,20.3,-1.7,3698.987,1488.348714,2.485295929109796,2672171,-569024252,1.6189591113044917
대구,2012,9.6,6.6,6984.14,980.361251,7.124047378327074,2.2,1.7,3781.591,1514.125005,2.4975421365556274,3202549,-533763754,1.5444561925061235
대구,2013,0.4,-1.4,7011.634,967.05405,7.250508903819802,-6.6,13.9,3531.622,1724.360117,2.048076828721967,3480012,-757306067,1.783106246233083
대구,2014,11.3,19.1,7807.123,1152.203894,6.77581723222331,4.2,6.6,3681.189,1838.416837,2.002369063376893,4125934,-686212943,1.5955655475332042
대구,2015,-9.2,-4.4,7090.442,1101.735554,6.435702264719688,5.3,9.9,3876.933,2021.312927,1.9180271140669354,3213509,-919577373,1.8346625192055843
대구,2016,-2.5,-0.6,6915.116,1095.323758,6.313307777260867,12.4,14.2,4358.712,2307.690374,1.8887767826690254,2556404,-1212366616,2.1068568604900104
대구,2017,4.3,-0.6,7212.866,1089.125032,6.622624389373138,1.8,-7.5,4438.629,2135.198678,2.0787896909703876,2774237,-1046073646,1.9604715852311803
대구,2018,12.3,1.8,8102.542,1108.954799,7.306467321577459,4.8,-9.8,4652.362,1924.977542,2.4168396246152155,3450180,-816022743,1.735848515860023
대구,2019,-7.6,1.5,7490.505,1125.567269,6.6548710204187715,-6.1,-3.2,4369.084,1862.634544,2.345647466956889,3121421,-737067275,1.6548407148111555
대구,2020,-16.4,-12.5,6264.7,984.560386,6.36294135847956,-6.5,-9.1,4086.048,1693.47474,2.412818983057285,2178652,-708914354,1.720031360270471
대구,2021,26.6,3.4,7933.676,1017.564988,7.79672659098998,28.2,-1.7,5240.258,1664.659905,3.1479451053397,2693418,-647094917,1.6359249036976495
대구,2022,34.1,3.8,10641.153,1056.051022,10.076362579383025,54.9,4.1,8115.009,1732.133176,4.684979834368117,2526144,-676082154,1.6401983804907487
대구,2023,3.5,-4.2,11016.301,1011.376064,10.89238849140887,3.0,14.5,8355.421,1982.90038,4.213737152039882,2660880,-971524316,1.96059650863954
대구,2024,-19.4,-4.3,8878.299,968.02474,9.171562082183973,-30.9,-7.3,5774.83,1838.838822,3.14047644138764,3103469,-870814082,1.8995783330909497
대구,2025,1.7,-0.4,9032.883,963.926385,9.370926183330898,6.3,0.5,6139.186,1848.390007,3.3213693953929715,2893697,-884463622,1.917563452731922
대구,2026,11.8,0.1,5826.349,571.446579,10.195789447538193,24.9,-0.8,4344.408,1045.040353,4.157167699341462,1481941,-473593774,1.8287629874847846
대전,2000,0.0,0.0,837.138,545.892855,1.533520712594782,0.0,0.0,1258.996,781.885962,1.6102041233475937,-421858,-235993107,1.432306641932509
대전,2001,-2.2,3.7,818.479,566.133106,1.4457359785633168,0.1,-2.5,1259.626,761.975336,1.653106000270854,-441147,-195842230,1.3459296549246496
대전,2002,14.1,0.6,933.686,569.730647,1.6388200370060135,13.2,3.6,1425.847,789.114278,1.8068954519664642,-492161,-219383631,1.3850655255342093
대전,2003,42.5,20.9,1330.358,688.921345,1.931073858656535,12.9,8.3,1609.315,854.368129,1.8836318272822652,-278957,-165446784,1.2401533719353695
대전,2004,38.1,25.0,1837.757,861.262833,2.1337934595396617,23.7,22.0,1991.429,1042.45438,1.9103272413705048,-153672,-181191547,1.2103789227370503
대전,2005,17.6,6.6,2161.353,917.895256,2.3546837026032086,15.1,2.8,2291.302,1071.796794,2.1378138214509343,-129949,-153901538,1.167667865144735
