기간,지역,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지,품목약칭_TRASS
2000,광주광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,11,46,74,1080,-1034,인조필라멘트
2000,광주광역시,55,인조스테이플섬유,9,93,441,21192,-21099,인조스테이플섬유
2000,광주광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1,46,25,196,-150,워딩_펄프_부직포
2000,광주광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,1,9,4,67,-58,양탄자류
2000,광주광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,11,19,107,2023,-2004,특수_직물
2000,광주광역시,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,4,19,77,4170,-4152,침투_도포직물
2000,광주광역시,60,메리야스편물과뜨개질편물,6,167,10,339,-171,편물
2000,광주광역시,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),61,1491,47,476,1015,편물제_의류
2000,광주광역시,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),57,2104,142,758,1346,비편물제의류
2000,광주광역시,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,181,1700,55,82,1618,기타_방직용섬유제품
2000,광주광역시,64,신발류ㆍ각반과이와유사한것이들의부분품,12,23,29,17,6,신발류
2000,광주광역시,65,모자류와그부분품,1,2,8,7,-5,모자류
2000,광주광역시,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,0,0,11,66,-66,산류_지팡이
2000,광주광역시,67,조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품,0,0,2,1,-1,조제_우모_조화_인모제품
2000,광주광역시,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,33,235,493,3591,-3357,석_시멘트제품
2000,광주광역시,69,도자제품,25,626,154,1906,-1280,도자_제품
2000,광주광역시,70,유리와유리제품,36,141,84,1268,-1127,유리와유리제품
2000,광주광역시,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,9,98,153,5865,-5767,진주_귀석귀금속
2000,광주광역시,72,철강,273,7575,163,3039,4536,철강
2000,광주광역시,73,철강의제품,373,9615,921,4273,5342,철강제품
2000,광주광역시,74,구리와그제품,22,132,241,5139,-5006,동
2000,광주광역시,75,니켈과그제품,0,0,3,17,-17,니켈
2000,광주광역시,76,알루미늄과그제품,233,7411,268,4858,2553,알루미늄
2000,광주광역시,78,납과그제품,0,0,67,4487,-4487,연
2000,광주광역시,79,아연과그제품,13,389,34,2835,-2446,아연
2000,광주광역시,80,주석과그제품,0,0,35,2477,-2477,주석
2000,광주광역시,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,9,24,41,175,-151,기타_비금속
2000,광주광역시,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,55,6547,209,1334,5213,비금속제의공구
2000,광주광역시,83,비금속(卑金屬)으로만든각종제품,14,96,20,222,-127,비금속제의각종_제품
2000,광주광역시,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,16435,632143,4490,106303,525840,기계류
2000,광주광역시,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,22645,2034098,24296,1371237,662861,전기기기
2000,광주광역시,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,0,0,3,501,-501,철도차량
2000,광주광역시,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,2460,370588,451,11794,358795,자동차
2000,광주광역시,88,항공기와우주선이들의부분품,0,0,1,2,-2,항공기
2000,광주광역시,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,105,4857,1293,27547,-22690,광학_정밀의료기기
2000,광주광역시,91,시계와그부분품,1,0,27,38,-38,시계
2000,광주광역시,92,악기와그부분품과부속품,26,321,24,115,207,악기
2000,광주광역시,93,무기ㆍ총포탄과이들의부분품과부속품,0,0,11,12,-12,무기
2000,광주광역시,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,57,1802,73,720,1081,가구_침구조립식건축
2000,광주광역시,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,254,38495,50,129,38366,완구_운동용구
2000,광주광역시,96,잡품,56,319,108,536,-217,잡품
2000,광주광역시,97,예술품ㆍ수집품ㆍ골동품,1,14,6,69,-55,예술품_수집과_골동품
2000,광주광역시,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0,0,439,67,-67,
2001,광주광역시,01,살아있는동물,0,0,17,46,-46,산_동물
2001,광주광역시,02,육과식용설육(屑肉),12,77,4,65,12,육과식용설육
2001,광주광역시,03,어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물,124,722,369,6898,-6176,어류
2001,광주광역시,04,낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품,37,1889,349,16949,-15060,낙농품
2001,광주광역시,05,다른류로분류되지않은동물성생산품,2,13,9,213,-200,기타_동물성생산품
2001,광주광역시,06,살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎,72,308,37,426,-118,산_수목및절화
2001,광주광역시,07,식용의채소ㆍ뿌리ㆍ괴경(塊莖),191,1095,127,1319,-224,채소
2001,광주광역시,08,식용의과실과견과류감귤류ㆍ멜론의껍질,45,641,0,0,641,과실_견과류
2001,광주광역시,09,커피ㆍ차ㆍ마테(maté)ㆍ향신료,12,126,53,343,-217,커피_향신료
2001,광주광역시,10,곡물,0,0,18,5128,-5128,곡물
2001,광주광역시,11,제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten),1,1,35,5066,-5065,제분공업생산품
2001,광주광역시,12,채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물,49,647,100,481,166,채유용종자
2001,광주광역시,13,락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract),0,0,9,317,-317,식물성수액과_엑스
2001,광주광역시,14,식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품,0,0,186,1790,-1790,기타_식물성생산품
2001,광주광역시,15,동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스,4,86,3,9,77,동_식물성유지
2001,광주광역시,16,육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품,12,129,37,1184,-1056,육_어류조제품
2001,광주광역시,17,당류(糖類)와설탕과자,7,68,16,525,-456,당류설탕과자
2001,광주광역시,18,코코아와그조제품,0,0,16,1585,-1585,코코아
2001,광주광역시,19,곡물ㆍ고운가루ㆍ전분ㆍ밀크의조제품과베이커리제품,108,1408,26,185,1223,곡물_곡분의_조제품
2001,광주광역시,20,채소ㆍ과실ㆍ견과류나식물의그밖의부분의조제품,146,871,34,313,558,채소_과실의_조제품
2001,광주광역시,21,각종조제식료품,63,577,90,722,-145,각종의_조제식료품
2001,광주광역시,22,음료ㆍ주류ㆍ식초,240,16823,28,224,16600,음료_알콜식초
2001,광주광역시,23,식품공업에서생기는잔재물과웨이스트(waste)조제사료,12,135,100,4205,-4070,사료
2001,광주광역시,24,담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것,71,132,0,0,132,담배
2001,광주광역시,25,소금황토석류(土石類)석고ㆍ석회ㆍ시멘트,2,36,89,1305,-1269,암석광물
2001,광주광역시,27,광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스,29,171,97,681,-510,광물성_연료에너지
2001,광주광역시,28,무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물,1,19,277,6171,-6153,무기화학품
2001,광주광역시,29,유기화학품,12,39,154,5627,-5588,유기화학품
2001,광주광역시,30,의료용품,9,80,19,26,55,의료용품
2001,광주광역시,31,비료,0,0,3,44,-44,비료
2001,광주광역시,32,유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크,45,209,289,1555,-1346,유연_착색제
2001,광주광역시,33,정유(essentialoil)와레지노이드(resinoid)조제향료와화장품ㆍ화장용품,3,11,123,1119,-1109,향료_화장품
2001,광주광역시,34,비누ㆍ유기계면활성제ㆍ조제세제ㆍ조제윤활제ㆍ인조왁스ㆍ조제왁스ㆍ광택용이나연마용조제품ㆍ양초와이와유사한물품ㆍ조형용페이스트(paste)ㆍ치과용왁스와플라스터(plaster)를기본재료로한치과용조제품,144,647,162,3859,-3212,비누_왁스
2001,광주광역시,35,단백질계물질변성전분글루(glue)효소,12,34,257,3650,-3615,단백질계물질
2001,광주광역시,37,사진용이나영화용재료,1,2,32,789,-787,사진_영화용재료
2001,광주광역시,38,각종화학공업생산품,81,635,610,9801,-9166,각종_화학공업생산품
2001,광주광역시,39,플라스틱과그제품,1386,7800,1486,15953,-8153,플라스틱
2001,광주광역시,40,고무와그제품,6623,115521,473,16300,99221,고무
2001,광주광역시,41,원피(모피는제외한다)와가죽,0,0,1,9,-9,원피
2001,광주광역시,42,가죽제품마구여행용구ㆍ핸드백과이와유사한용기동물거트(gut)[누에의거트(gut)는제외한다]의제품,7,38,78,125,-87,가죽제품
2001,광주광역시,43,모피ㆍ인조모피와이들의제품,0,0,5,14,-14,모피
2001,광주광역시,44,목재와그제품목탄,7,19,232,5134,-5115,목재_및목탄
2001,광주광역시,46,짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物),6,71,14,119,-48,조물재료의제품
2001,광주광역시,47,목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)],0,0,26,4526,-4526,펄프
2001,광주광역시,48,종이와판지제지용펄프ㆍ종이ㆍ판지의제품,241,4933,91,810,4122,지와_지제품
2001,광주광역시,49,인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면,23,116,351,308,-192,인쇄서적_신문_회화
2001,광주광역시,50,견,1,2,8,10,-8,견
2001,광주광역시,51,양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물,1,5,1,4,2,모
2001,광주광역시,52,면,1236,17458,1616,152493,-135034,면
2001,광주광역시,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,0,0,60,2208,-2208,기타_식물성방직용_섬유
2001,광주광역시,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,636,11737,83,1646,10091,인조필라멘트
2001,광주광역시,55,인조스테이플섬유,36,363,338,13871,-13508,인조스테이플섬유
2001,광주광역시,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,6,8,36,387,-379,워딩_펄프_부직포
2001,광주광역시,57,양탄자류와그밖의방직용섬유로만든바닥깔개,0,0,18,343,-343,양탄자류
2001,광주광역시,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,17,56,46,631,-576,특수_직물
2001,광주광역시,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,8,81,108,6590,-6509,침투_도포직물
2001,광주광역시,60,메리야스편물과뜨개질편물,11,63,6,55,8,편물
2001,광주광역시,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),64,1796,79,951,845,편물제_의류
2001,광주광역시,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),51,768,221,1132,-364,비편물제의류
2001,광주광역시,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,158,1473,65,74,1399,기타_방직용섬유제품
2001,광주광역시,64,신발류ㆍ각반과이와유사한것이들의부분품,1,4,63,109,-105,신발류
2001,광주광역시,65,모자류와그부분품,3,28,15,47,-19,모자류
2001,광주광역시,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,0,0,4,32,-32,산류_지팡이
2001,광주광역시,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,21,182,605,3315,-3133,석_시멘트제품
2001,광주광역시,69,도자제품,86,2944,168,2249,694,도자_제품
2001,광주광역시,70,유리와유리제품,19,37,110,1407,-1370,유리와유리제품
2001,광주광역시,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,14,130,73,2024,-1894,진주_귀석귀금속
2001,광주광역시,72,철강,181,4960,180,3350,1610,철강
2001,광주광역시,73,철강의제품,595,12152,696,3474,8678,철강제품
2001,광주광역시,74,구리와그제품,12,55,152,3500,-3444,동
2001,광주광역시,75,니켈과그제품,1,0,12,75,-74,니켈
2001,광주광역시,76,알루미늄과그제품,284,6600,260,2976,3624,알루미늄
