항목명(영문),항목명(국문)
cntnEbkUnfcClsfCd,대륙경제권통합분류코드
,
경제권별코드,경제권별코드명
10,EU
20,OECD
30,ASEAN
40,CIS
50,NAFTA
60,APEC
70,동남아
80,동구권
90,아셈
91,EFTA
92,MERCOSUR
93,GCC
99,기타
