"year","hs_section","section_name","hs_chapter","product_name","export_cnt","export_usd","export_ratio","import_cnt","import_usd","import_ratio","balance"
"2020","09","목재 및 목재 제품","45","코르크(cork)와그제품","0","0","0.00","11","21","0.00","-21"
"2020","09","목재 및 목재 제품","46","짚ㆍ에스파르토(esparto)나그밖의조물재료의제품바구니세공물(basketware)과지조세공물(枝條細工物)","2","2","0.00","158","203","0.01","-201"
"2020","10","펄프 및 종이 제품","47","목재나그밖의섬유질셀룰로오스재료의펄프회수한종이ㆍ판지[웨이스트(waste)와스크랩(scrap)]","3","1","0.00","178","12532","0.35","-12531"
"2020","10","펄프 및 종이 제품","48","종이와판지제지용펄프ㆍ종이ㆍ판지의제품","6709","303215","6.04","3849","47036","1.30","256180"
"2020","10","펄프 및 종이 제품","49","인쇄서적ㆍ신문ㆍ회화ㆍ그밖의인쇄물수제(手製)문서ㆍ타자문서ㆍ도면","186","2164","0.04","4782","7640","0.21","-5476"
"2020","11","섬유 및 섬유 제품","50","견","15","378","0.01","4","1","0.00","377"
"2020","11","섬유 및 섬유 제품","51","양모ㆍ동물의부드러운털이나거친털ㆍ말의털로만든실과직물","40","394","0.01","29","13","0.00","380"
"2020","11","섬유 및 섬유 제품","52","면","100","2717","0.05","316","12778","0.35","-10062"
"2020","11","섬유 및 섬유 제품","53","그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물","1","3","0.00","10","49","0.00","-46"
"2020","11","섬유 및 섬유 제품","54","인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것","2416","31459","0.63","195","3066","0.08","28393"
"2020","11","섬유 및 섬유 제품","55","인조스테이플섬유","75","1326","0.03","104","1470","0.04","-144"
"2020","11","섬유 및 섬유 제품","56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품","1005","29838","0.59","2079","30928","0.85","-1090"
"2020","11","섬유 및 섬유 제품","57","양탄자류와그밖의방직용섬유로만든바닥깔개","7","155","0.00","278","861","0.02","-707"
"2020","11","섬유 및 섬유 제품","58","특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천","9","25","0.00","188","102","0.00","-77"
"2020","11","섬유 및 섬유 제품","59","침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품","44","877","0.02","246","1902","0.05","-1025"
"2020","11","섬유 및 섬유 제품","60","메리야스편물과뜨개질편물","9","127","0.00","8","5","0.00","121"
"2020","11","섬유 및 섬유 제품","61","의류와그부속품(메리야스편물이나뜨개질편물로한정한다)","208","805","0.02","12543","9392","0.26","-8587"
"2020","11","섬유 및 섬유 제품","62","의류와그부속품(메리야스편물이나뜨개질편물은제외한다)","351","600","0.01","24461","16150","0.45","-15550"
"2020","11","섬유 및 섬유 제품","63","제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마","716","3877","0.08","9360","13089","0.36","-9212"
"2020","12","신발, 모자, 우산 등","64","신발류ㆍ각반과이와유사한것이들의부분품","171","4527","0.09","11306","17213","0.48","-12686"
"2020","12","신발, 모자, 우산 등","65","모자류와그부분품","29","110","0.00","2082","829","0.02","-719"
"2020","12","신발, 모자, 우산 등","66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품","1","5","0.00","419","299","0.01","-294"
"2020","12","신발, 모자, 우산 등","67","조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품","6","5","0.00","648","1161","0.03","-1156"
"2020","13","석재, 유리 및 도자기","68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품","379","10030","0.20","1772","17332","0.48","-7302"
"2020","13","석재, 유리 및 도자기","69","도자제품","37","87","0.00","2457","7052","0.19","-6964"
"2020","13","석재, 유리 및 도자기","70","유리와유리제품","215","2773","0.06","2550","8688","0.24","-5915"
"2020","14","귀금속 및 보석류","71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화","249","73022","1.46","3258","21320","0.59","51702"
"2020","15","비금속 및 그 제품","72","철강","143","31524","0.63","594","36424","1.01","-4901"
"2020","15","비금속 및 그 제품","73","철강의제품","4207","44170","0.88","12083","67005","1.85","-22836"
"2020","15","비금속 및 그 제품","74","구리와그제품","673","11160","0.22","1412","15002","0.41","-3842"
"2020","15","비금속 및 그 제품","75","니켈과그제품","8","196","0.00","104","2775","0.08","-2579"
"2020","15","비금속 및 그 제품","76","알루미늄과그제품","1233","19546","0.39","3080","84731","2.34","-65185"
"2020","15","비금속 및 그 제품","78","납과그제품","737","378","0.01","229","24291","0.67","-23913"
"2020","15","비금속 및 그 제품","79","아연과그제품","1","2","0.00","15","4","0.00","-2"
"2020","15","비금속 및 그 제품","80","주석과그제품","0","0","0.00","23","2365","0.07","-2365"
"2020","15","비금속 및 그 제품","81","그밖의비금속(卑金屬)서멧(cermet)이들의제품","49","185","0.00","258","36438","1.01","-36253"
"2020","15","비금속 및 그 제품","82","비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품","1147","5600","0.11","5831","4484","0.12","1117"
"2020","15","비금속 및 그 제품","83","비금속(卑金屬)으로만든각종제품","745","2847","0.06","1569","3136","0.09","-289"
"2020","16","기계 및 전기기기","84","원자로ㆍ보일러ㆍ기계류와이들의부분품","17689","971944","19.37","37375","721575","19.93","250369"
"2020","16","기계 및 전기기기","85","전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품","33854","1341118","26.73","76762","648045","17.90","693074"
"2020","17","수송기기","86","철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기","6","1010","0.02","83","47432","1.31","-46422"
"2020","17","수송기기","87","철도용이나궤도용외의차량과그부분품ㆍ부속품","8554","300747","5.99","4713","73727","2.04","227019"
"2020","17","수송기기","88","항공기와우주선이들의부분품","23","146239","2.91","152","7550","0.21","138690"
"2020","17","수송기기","89","선박과수상구조물","0","0","0.00","40","267","0.01","-267"
"2020","18","광학, 정밀, 의료기기","90","광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품","10158","309990","6.18","36765","400893","11.07","-90904"
"2020","18","광학, 정밀, 의료기기","91","시계와그부분품","34","17","0.00","1410","1061","0.03","-1044"
"2020","18","광학, 정밀, 의료기기","92","악기와그부분품과부속품","2","9","0.00","486","517","0.01","-508"
"2020","19","무기 및 탄약","93","무기ㆍ총포탄과이들의부분품과부속품","15","114076","2.27","120","343","0.01","113733"
"2020","20","잡품(가구, 장난감 등)","94","가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물","308","2831","0.06","5630","29240","0.81","-26409"
"2020","20","잡품(가구, 장난감 등)","95","완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품","177","3808","0.08","9951","13129","0.36","-9321"
"2020","20","잡품(가구, 장난감 등)","96","잡품","1470","50225","1.00","9407","5172","0.14","45053"
"2020","21","특수품 및 기타","97","예술품ㆍ수집품ㆍ골동품","2","1","0.00","150","320","0.01","-320"
"2020","21","특수품 및 기타","99","일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼","0","0","0.00","336","0","0.00","0"
"2021","01","동물 및 동물성 생산품","01","살아있는동물","31","24","0.00","188","4014","0.11","-3990"
"2021","01","동물 및 동물성 생산품","02","육과식용설육(屑肉)","4","4","0.00","302","15783","0.41","-15779"
"2021","01","동물 및 동물성 생산품","03","어류ㆍ갑각류ㆍ연체동물과그밖의수생(水生)무척추동물","124","5729","0.12","525","6555","0.17","-826"
"2021","01","동물 및 동물성 생산품","04","낙농품새의알천연꿀다른류로분류되지않은식용인동물성생산품","41","156","0.00","6080","4201","0.11","-4045"
"2021","01","동물 및 동물성 생산품","05","다른류로분류되지않은동물성생산품","0","0","0.00","117","4969","0.13","-4969"
"2021","02","식물성 생산품","06","살아있는수목과그밖의식물인경(鱗莖)ㆍ뿌리와이와유사한물품절화(切花)와장식용잎","0","0","0.00","153","1403","0.04","-1403"
"2021","02","식물성 생산품","07","식용의채소ㆍ뿌리ㆍ괴경(塊莖)","33","13","0.00","2649","10884","0.29","-10870"
"2021","02","식물성 생산품","08","식용의과실과견과류감귤류ㆍ멜론의껍질","55","218","0.00","2959","1252","0.03","-1035"
"2021","02","식물성 생산품","09","커피ㆍ차ㆍ마테(maté)ㆍ향신료","19","65","0.00","14203","1666","0.04","-1600"
"2021","02","식물성 생산품","10","곡물","5","10","0.00","1926","218653","5.73","-218643"
"2021","02","식물성 생산품","11","제분공업의생산품과맥아전분이눌린(inulin)밀의글루텐(gluten)","46","129","0.00","3159","1932","0.05","-1803"
"2021","02","식물성 생산품","12","채유(採油)에적합한종자와과실각종종자와과실공업용ㆍ의약용식물짚과사료용식물","58","1341","0.03","10612","37961","1.00","-36620"
"2021","02","식물성 생산품","13","락(lac)검ㆍ수지ㆍ그밖의식물성수액과추출물(extract)","111","1169","0.02","832","567","0.01","602"
"2021","02","식물성 생산품","14","식물성편조물(編組物)용재료와다른류로분류되지않은식물성생산품","0","0","0.00","31","69","0.00","-69"
"2021","03","동식물성 유지류","15","동물성ㆍ식물성ㆍ미생물성지방과기름및이들의분해생산물조제한식용지방과동물성ㆍ식물성왁스","37","16","0.00","5984","1864","0.05","-1848"
"2021","04","조제식품류","16","육류ㆍ어류ㆍ갑각류ㆍ연체동물이나그밖의수생(水生)무척추동물또는곤충의조제품","184","1332","0.03","2172","523","0.01","809"
