"지역","기간","부코드","부명약칭","부명_공식","류코드","류명약칭","류명_공식","수출건수","수출금액","수출비중","수입건수","수입금액","수입비중","무역수지","원자료없음"
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","23","사료","식품공업에서생기는잔재물과웨이스트(waste)조제사료",16,211,0.01,98,3497,0.19,-3286,0
"광주광역시","2000","04","조제식품류","조제 식료품, 음료ㆍ주류ㆍ식초, 담배ㆍ제조한 담배 대용물, 연소시키지 않고 흡입하도록 만들어진 물품(니코틴을 함유하였는지에 상관없다), 니코틴을 함유한 그 밖의 물품으로 인체 내에 니코틴을 흡수시키도록 만들어진 것","24","담배","담배와제조한담배대용물연소시키지않고흡입하도록만들어진물품(니코틴을함유하였는지에상관없다)니코틴을함유한그밖의물품으로인체내에니코틴을흡수시키도록만들어진것",33,52,0,0,0,0,52,0
"광주광역시","2000","05","광물성 생산품","광물성 생산품","25","암석광물","소금황토석류(土石類)석고ㆍ석회ㆍ시멘트",24,816,0.03,44,740,0.04,76,0
"광주광역시","2000","05","광물성 생산품","광물성 생산품","26","금속광물","광(鑛)ㆍ슬래그(slag)ㆍ회(灰)",0,0,0,0,0,0,0,1
"광주광역시","2000","05","광물성 생산품","광물성 생산품","27","광물성_연료에너지","광물성연료ㆍ광물유(鑛物油)와이들의증류물역청(瀝靑)물질광물성왁스",22,127,0,92,2177,0.12,-2049,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","28","무기화학품","무기화학품귀금속ㆍ희토류(稀土類)금속ㆍ방사성원소ㆍ동위원소의유기화합물이나무기화합물",1,3,0,221,4428,0.24,-4425,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","29","유기화학품","유기화학품",10,28,0,117,3814,0.21,-3786,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","30","의료용품","의료용품",1,11,0,29,274,0.01,-263,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","31","비료","비료",5,36,0,2,3,0,32,0
"광주광역시","2000","06","화학공업 제품","화학공업이나 연관공업의 생산품","32","유연_착색제","유연용ㆍ염색용추출물(extract)탄닌과이들의유도체염료ㆍ안료와그밖의착색제페인트ㆍ바니시(varnish)퍼티(putty)와그밖의매스틱(mastic)잉크",27,171,0.01,219,2438,0.13,-2267,0
