연도,품목,지역,구분,물동량_톤
2022,축산물,대전,반출,8270
2022,축산물,대전,합계,50296
2022,축산물,울산,반입,20685
2022,축산물,울산,반출,15190
2022,축산물,울산,합계,35875
2022,축산물,경기,반입,546289
2022,축산물,경기,반출,1013430
2022,축산물,경기,합계,1559719
2022,축산물,강원,반입,204798
2022,축산물,강원,반출,245293
2022,축산물,강원,합계,450091
2022,축산물,충북,반입,811393
2022,축산물,충북,반출,178900
2022,축산물,충북,합계,990293
2022,축산물,충남,반입,308707
2022,축산물,충남,반출,760991
2022,축산물,충남,합계,1069698
2022,축산물,전북,반입,572413
2022,축산물,전북,반출,362759
2022,축산물,전북,합계,935172
2022,축산물,전남,반입,142154
2022,축산물,전남,반출,375716
2022,축산물,전남,합계,517870
2022,축산물,경북,반입,499800
2022,축산물,경북,반출,460648
2022,축산물,경북,합계,960448
2022,축산물,경남,반입,217588
2022,축산물,경남,반출,349791
2022,축산물,경남,합계,567379
2022,축산물,제주,반입,0
2022,축산물,제주,반출,0
2022,축산물,제주,합계,0
2022,석탄광물,서울,반입,119215
2022,석탄광물,서울,반출,0
2022,석탄광물,서울,합계,119215
2022,석탄광물,부산,반입,55004
2022,석탄광물,부산,반출,4081
2022,석탄광물,부산,합계,59085
2022,석탄광물,대구,반입,57754
2022,석탄광물,대구,반출,0
2022,석탄광물,대구,합계,57754
2022,석탄광물,인천,반입,0
2022,석탄광물,인천,반출,0
2022,석탄광물,인천,합계,0
2022,석탄광물,광주,반입,24892
2022,석탄광물,광주,반출,0
2022,석탄광물,광주,합계,24892
2022,석탄광물,세종,반입,17010
2022,석탄광물,세종,반출,0
2022,석탄광물,세종,합계,17010
2022,석탄광물,대전,반입,50131
2022,석탄광물,대전,반출,0
2022,석탄광물,대전,합계,50131
2022,석탄광물,울산,반입,88624
2022,석탄광물,울산,반출,0
2022,석탄광물,울산,합계,88624
2022,석탄광물,경기,반입,263765
2022,석탄광물,경기,반출,9467356
2022,석탄광물,경기,합계,9731121
2022,석탄광물,강원,반입,262654
2022,석탄광물,강원,반출,416677
2022,석탄광물,강원,합계,679331
2022,석탄광물,충북,반입,390455
2022,석탄광물,충북,반출,0
2022,석탄광물,충북,합계,390455
2022,석탄광물,충남,반입,9535283
2022,석탄광물,충남,반출,47886
2022,석탄광물,충남,합계,9583169
2022,석탄광물,전북,반입,122042
2022,석탄광물,전북,반출,0
2022,석탄광물,전북,합계,122042
2022,석탄광물,전남,반입,109854
2022,석탄광물,전남,반출,570483
2022,석탄광물,전남,합계,680337
2022,석탄광물,경북,반입,166556
2022,석탄광물,경북,반출,857343
2022,석탄광물,경북,합계,1023899
2022,석탄광물,경남,반입,100587
2022,석탄광물,경남,반출,0
2022,석탄광물,경남,합계,100587
2022,석탄광물,제주,반입,0
2022,석탄광물,제주,반출,0
2022,석탄광물,제주,합계,0
2022,석회석광물,서울,반입,256850
2022,석회석광물,서울,반출,0
2022,석회석광물,서울,합계,256850
2022,석회석광물,부산,반입,24670
2022,석회석광물,부산,반출,1740257
2022,석회석광물,부산,합계,1764927
2022,석회석광물,대구,반입,13886
2022,석회석광물,대구,반출,0
2022,석회석광물,대구,합계,13886
2022,석회석광물,인천,반입,29035
2022,석회석광물,인천,반출,4063520
2022,석회석광물,인천,합계,4092555
2022,석회석광물,광주,반입,4593
2022,석회석광물,광주,반출,0
2022,석회석광물,광주,합계,4593
2022,석회석광물,세종,반입,10100
2022,석회석광물,세종,반출,0
2022,석회석광물,세종,합계,10100
2022,석회석광물,대전,반입,231916
2022,석회석광물,대전,반출,0
2022,석회석광물,대전,합계,231916
2022,석회석광물,울산,반입,22455
2022,석회석광물,울산,반출,108579
2022,석회석광물,울산,합계,131034
2022,석회석광물,경기,반입,3405521
2022,석회석광물,경기,반출,3060329
2022,석회석광물,경기,합계,6465850
2022,석회석광물,강원,반입,31000
2022,석회석광물,강원,반출,327974
2022,석회석광물,강원,합계,358974
2022,석회석광물,충북,반입,2230016
2022,석회석광물,충북,반출,285397
2022,석회석광물,충북,합계,2515413
2022,석회석광물,충남,반입,1682271
2022,석회석광물,충남,반출,636762
2022,석회석광물,충남,합계,2319033
2022,석회석광물,전북,반입,843708
2022,석회석광물,전북,반출,0
2022,석회석광물,전북,합계,843708
2022,석회석광물,전남,반입,417423
2022,석회석광물,전남,반출,619317
2022,석회석광물,전남,합계,1036740
2022,석회석광물,경북,반입,217866
2022,석회석광물,경북,반출,555654
2022,석회석광물,경북,합계,773520
2022,석회석광물,경남,반입,1977083
2022,석회석광물,경남,반출,604
2022,석회석광물,경남,합계,1977687
2022,석회석광물,제주,반입,0
2022,석회석광물,제주,반출,0
2022,석회석광물,제주,합계,0
2022,비금속광물,서울,반입,4322533
2022,비금속광물,서울,반출,420868
2022,비금속광물,서울,합계,4743401
2022,비금속광물,부산,반입,4502006
2022,비금속광물,부산,반출,4113726
2022,비금속광물,부산,합계,8615732
2022,비금속광물,대구,반입,4066028
2022,비금속광물,대구,반출,1126847
2022,비금속광물,대구,합계,5192875
2022,비금속광물,인천,반입,7869254
2022,비금속광물,인천,반출,9154996
2022,비금속광물,인천,합계,17024250
2022,비금속광물,광주,반입,1491966
2022,비금속광물,광주,반출,96442
2022,비금속광물,광주,합계,1588408
2022,비금속광물,세종,반입,2826170
2022,비금속광물,세종,반출,3434148
2022,비금속광물,세종,합계,6260318
2022,비금속광물,대전,반입,2439960
2022,비금속광물,대전,반출,25531
2022,비금속광물,대전,합계,2465491
2022,비금속광물,울산,반입,5034850
2022,비금속광물,울산,반출,3320829
2022,비금속광물,울산,합계,8355679
2022,비금속광물,경기,반입,19716163
2022,비금속광물,경기,반출,47047279
2022,비금속광물,경기,합계,66763442
2022,비금속광물,강원,반입,14645498
2022,비금속광물,강원,반출,17045377
2022,비금속광물,강원,합계,31690875
2022,비금속광물,충북,반입,17549246
2022,비금속광물,충북,반출,8411061
2022,비금속광물,충북,합계,25960307
2022,비금속광물,충남,반입,14204145
2022,비금속광물,충남,반출,13453878
2022,비금속광물,충남,합계,27658023
2022,비금속광물,전북,반입,8640055
2022,비금속광물,전북,반출,10957295
2022,비금속광물,전북,합계,19597350
2022,비금속광물,전남,반입,13054819
2022,비금속광물,전남,반출,8701970
2022,비금속광물,전남,합계,21756789
2022,비금속광물,경북,반입,16153070
2022,비금속광물,경북,반출,8607365
2022,비금속광물,경북,합계,24760435
2022,비금속광물,경남,반입,9962039
2022,비금속광물,경남,반출,10560190
2022,비금속광물,경남,합계,20522229
2022,비금속광물,제주,반입,0
2022,비금속광물,제주,반출,0
2022,비금속광물,제주,합계,0
2022,음식료품,서울,반입,3988488
2022,음식료품,서울,반출,511565
2022,음식료품,서울,합계,4500053
2022,음식료품,부산,반입,1510511
2022,음식료품,부산,반출,515799
2022,음식료품,부산,합계,2026310
2022,음식료품,대구,반입,977049
2022,음식료품,대구,반출,332999
2022,음식료품,대구,합계,1310048
2022,음식료품,인천,반입,1185454
2022,음식료품,인천,반출,2347405
2022,음식료품,인천,합계,3532859
2022,음식료품,광주,반입,566862
2022,음식료품,광주,반출,287348
2022,음식료품,광주,합계,854210
2022,음식료품,세종,반입,241840
2022,음식료품,세종,반출,366469
2022,음식료품,세종,합계,608309
2022,음식료품,대전,반입,720901
2022,음식료품,대전,반출,390530
2022,음식료품,대전,합계,1111431
2022,음식료품,울산,반입,689492
2022,음식료품,울산,반출,173263
2022,음식료품,울산,합계,862755
2022,음식료품,경기,반입,5971964
2022,음식료품,경기,반출,4971486
2022,음식료품,경기,합계,10943450
2022,음식료품,강원,반입,944294
2022,음식료품,강원,반출,4162747
2022,음식료품,강원,합계,5107041
2022,음식료품,충북,반입,2978304
2022,음식료품,충북,반출,1778741
2022,음식료품,충북,합계,4757045
2022,음식료품,충남,반입,2344669
2022,음식료품,충남,반출,7055836
2022,음식료품,충남,합계,9400505
2022,음식료품,전북,반입,2302977
2022,음식료품,전북,반출,2013636
2022,음식료품,전북,합계,4316613
2022,음식료품,전남,반입,1450526
2022,음식료품,전남,반출,1876570
2022,음식료품,전남,합계,3327096
2022,음식료품,경북,반입,1652135
2022,음식료품,경북,반출,2761219
2022,음식료품,경북,합계,4413354
2022,음식료품,경남,반입,2686732
2022,음식료품,경남,반출,666585
2022,음식료품,경남,합계,3353317
2022,음식료품,제주,반입,0
2022,음식료품,제주,반출,0
2022,음식료품,제주,합계,0
2022,담배제품,서울,반입,11197
2022,담배제품,서울,반출,0
2022,담배제품,서울,합계,11197
2022,담배제품,부산,반입,3581
2022,담배제품,부산,반출,1
2022,담배제품,부산,합계,3582
2022,담배제품,대구,반입,2570
