시도명,수출액,배율,포함사유,시도코드
광주,17517299,3.500220695768136,규모,29
대구,9032883,1.8049063396732663,규모,27
대전,5004627,1.0,기준,30
부산,14227941,2.8429573272893265,규모,26
세종,1393260,0.2783943738464425,인접,36
충남,97080271,19.398103195303065,인접,44
충북,33819097,6.757565948471285,인접,43
