항목명(영문),항목명(국문)
cntnEbkUnfcClsfCd,대륙경제권통합분류코드
,
대륙별코드(국가부호),대륙별코드
10,아시아
20,중동
30,유럽
40,북미
50,중남미
60,아프리카
70,오세아니아
80,대양주
99,기타
