지역,기간,HS코드,품목명,수출건수,수출금액,수입건수,수입금액,무역수지
광주광역시,2000,52,면,912.0,16384.0,1518.0,130694.0,-114310.0
광주광역시,2000,53,그밖의식물성방직용섬유종이실(paperyarn)과종이실로만든직물,1.0,7.0,36.0,1542.0,-1535.0
광주광역시,2000,54,인조필라멘트인조방직용섬유재료의스트립(strip)과이와유사한것,11.0,46.0,74.0,1080.0,-1034.0
광주광역시,2000,55,인조스테이플섬유,9.0,93.0,441.0,21192.0,-21099.0
광주광역시,2000,56,워딩(wadding)ㆍ펠트(felt)ㆍ부직포특수사끈ㆍ배의밧줄(cordage)ㆍ로프ㆍ케이블과이들의제품,1.0,46.0,25.0,196.0,-150.0
광주광역시,2000,57,양탄자류와그밖의방직용섬유로만든바닥깔개,1.0,9.0,4.0,67.0,-58.0
광주광역시,2000,58,특수직물터프트(tuft)한직물레이스태피스트리(tapestry)트리밍(trimming)자수천,11.0,19.0,107.0,2023.0,-2004.0
광주광역시,2000,59,침투ㆍ도포ㆍ피복하거나적층한방직용섬유의직물공업용인방직용섬유제품,4.0,19.0,77.0,4170.0,-4152.0
광주광역시,2000,60,메리야스편물과뜨개질편물,6.0,167.0,10.0,339.0,-171.0
광주광역시,2000,61,의류와그부속품(메리야스편물이나뜨개질편물로한정한다),61.0,1491.0,47.0,476.0,1015.0
광주광역시,2000,62,의류와그부속품(메리야스편물이나뜨개질편물은제외한다),57.0,2104.0,142.0,758.0,1346.0
광주광역시,2000,63,제품으로된방직용섬유의그밖의물품세트사용하던의류ㆍ방직용섬유제품넝마,181.0,1700.0,55.0,82.0,1618.0
광주광역시,2000,64,신발류ㆍ각반과이와유사한것이들의부분품,12.0,23.0,29.0,17.0,6.0
광주광역시,2000,65,모자류와그부분품,1.0,2.0,8.0,7.0,-5.0
광주광역시,2000,66,산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용채찍과이들의부분품,0.0,0.0,11.0,66.0,-66.0
광주광역시,2000,67,조제깃털ㆍ솜털과그제품조화사람머리카락으로된제품,0.0,0.0,2.0,1.0,-1.0
광주광역시,2000,68,돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나이와유사한재료의제품,33.0,235.0,493.0,3591.0,-3357.0
광주광역시,2000,69,도자제품,25.0,626.0,154.0,1906.0,-1280.0
광주광역시,2000,70,유리와유리제품,36.0,141.0,84.0,1268.0,-1127.0
광주광역시,2000,71,천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을입힌금속과이들의제품모조신변장식용품주화,9.0,98.0,153.0,5865.0,-5767.0
광주광역시,2000,72,철강,273.0,7575.0,163.0,3039.0,4536.0
광주광역시,2000,73,철강의제품,373.0,9615.0,921.0,4273.0,5342.0
광주광역시,2000,74,구리와그제품,22.0,132.0,241.0,5139.0,-5006.0
광주광역시,2000,75,니켈과그제품,0.0,0.0,3.0,17.0,-17.0
광주광역시,2000,76,알루미늄과그제품,233.0,7411.0,268.0,4858.0,2553.0
광주광역시,2000,78,납과그제품,0.0,0.0,67.0,4487.0,-4487.0
광주광역시,2000,79,아연과그제품,13.0,389.0,34.0,2835.0,-2446.0
광주광역시,2000,80,주석과그제품,0.0,0.0,35.0,2477.0,-2477.0
광주광역시,2000,81,그밖의비금속(卑金屬)서멧(cermet)이들의제품,9.0,24.0,41.0,175.0,-151.0
광주광역시,2000,82,비금속(卑金屬)으로만든공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크이들의부분품,55.0,6547.0,209.0,1334.0,5213.0
광주광역시,2000,83,비금속(卑金屬)으로만든각종제품,14.0,96.0,20.0,222.0,-127.0
광주광역시,2000,84,원자로ㆍ보일러ㆍ기계류와이들의부분품,16435.0,632143.0,4490.0,106303.0,525840.0
광주광역시,2000,85,전기기기와그부분품녹음기ㆍ음성재생기ㆍ텔레비전의영상과음성의기록기ㆍ재생기와이들의부분품ㆍ부속품,22645.0,2034098.0,24296.0,1371237.0,662861.0
광주광역시,2000,86,철도용이나궤도용기관차ㆍ차량과이들의부분품철도용이나궤도용장비품과그부분품기계식(전기기계식을포함한다)각종교통신호용기기,0.0,0.0,3.0,501.0,-501.0
광주광역시,2000,87,철도용이나궤도용외의차량과그부분품ㆍ부속품,2460.0,370588.0,451.0,11794.0,358795.0
광주광역시,2000,88,항공기와우주선이들의부분품,0.0,0.0,1.0,2.0,-2.0
광주광역시,2000,90,광학기기ㆍ사진용기기ㆍ영화용기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용기기이들의부분품과부속품,105.0,4857.0,1293.0,27547.0,-22690.0
광주광역시,2000,91,시계와그부분품,1.0,0.0,27.0,38.0,-38.0
광주광역시,2000,92,악기와그부분품과부속품,26.0,321.0,24.0,115.0,207.0
광주광역시,2000,93,무기ㆍ총포탄과이들의부분품과부속품,0.0,0.0,11.0,12.0,-12.0
광주광역시,2000,94,가구침구ㆍ매트리스ㆍ매트리스서포트(mattresssupport)ㆍ쿠션과이와유사한물품다른류로분류되지않은조명기구조명용사인ㆍ조명용네임플레이트(name-plate)와이와유사한물품조립식건축물,57.0,1802.0,73.0,720.0,1081.0
광주광역시,2000,95,완구ㆍ게임용구ㆍ운동용구와이들의부분품과부속품,254.0,38495.0,50.0,129.0,38366.0
광주광역시,2000,96,잡품,56.0,319.0,108.0,536.0,-217.0
광주광역시,2000,97,예술품ㆍ수집품ㆍ골동품,1.0,14.0,6.0,69.0,-55.0
광주광역시,2000,99,일시적입법;설치된간이수정에따른입법을트레이드한다;추가적수입제한농업인것의제22부에따른확립된것조정행위수정된것처럼,0.0,0.0,439.0,67.0,-67.0
광주광역시,2000,89,선박과수상구조물,,,,,0.0
